33554432  6343.5058103998 39.1576331804 12.3827308634 0 68259     5916.5830568002 21.4856459969 6.7943578351 0 68259     7580.9834960998 26.3328546926 8.3271798124 33549904 68260     7862.7893067000 40.2801751461 12.7377098014 33549904 68260     6833.8102050000 61.0576663409 19.3081294256 33549912 68260     6880.9521486002 140.9568539711 44.5744710370 33549904 68260     6735.8191896001 70.0533615987 22.1528180408 33549904 68260     6773.8735839999 31.3642671682 9.9182521395 33549904 68260      
67108864  13019.5491209998 36.0915203240 11.4131408444 0 71659     11887.9564453002 42.1362457594 13.3246508651 0 71659     15302.8905273998 138.8763803388 43.9165675079 67099722 71660     15934.2183595003 118.4246471688 37.4491616163 67099722 71660     13687.3291991997 63.3870828676 20.0447556099 67099743 71660     13694.0159179000 42.4133386553 13.4122753325 67099722 71660     13737.6858398998 43.3776269013 13.7172100504 67099722 71660     14063.5029297002 60.1834414589 19.0316752441 67099722 71660      
100663296  19599.8277344001 56.1466790440 17.7551388837 0 73084     18206.1433594000 68.2136690304 21.5710561697 0 73084     23537.4281251001 55.4123969945 17.5229385115 100649589 73085     24140.8798828000 119.4405610462 37.7704217922 100649589 73085     20849.0988280999 94.0559318986 29.7430972255 100649583 73085     20859.3808594002 73.7885771468 23.3339969091 100649589 73085     20722.6058593001 44.2627079221 13.9970972443 100649589 73085     21057.1935547000 47.6515712917 15.0687499370 100649589 73085      
134217728  26249.5341796999 43.5942546957 13.7857137738 0 74098     24331.9101561999 58.6759814080 18.5549745198 0 74098     31019.0632812999 95.2211877953 30.1115834946 134199559 74099     31978.1986329001 106.7886433599 33.7695341264 134199559 74099     27653.0273436999 100.8439134863 31.8896454788 134199564 74099     27674.1101562000 69.8209427488 22.0793207471 134199559 74099     27796.6710938001 119.6979564943 37.8518173797 134199559 74099     28336.8474608001 99.8372804543 31.5713201639 134199559 74099      
167772160  33563.5566406002 114.4853730912 36.2034537750 0 74639     30548.1074217999 88.5222843401 27.9932042201 0 74639     40271.2269531002 179.7472327330 56.8410658560 167749431 74640     41240.3273438001 202.9769723492 64.1869545202 167749431 74640     35696.2121091998 193.8340562629 61.2957105913 167749442 74640     35858.4687499000 113.8395300961 35.9992202874 167749431 74640     35935.9429687999 215.2054562008 68.0539406504 167749431 74640     36486.1011720001 99.9865814163 31.6185332736 167749431 74640      
201326592  39974.2597655000 102.0267703775 32.2636976710 0 75099     36886.4156250000 84.6626630871 26.7726848136 0 75099     47636.4312501002 248.3916844910 78.5483474854 201299358 75100     48894.8988280000 147.8173382192 46.7439466446 201299358 75100     42520.3624999000 69.7421419003 22.0544017308 201299347 75100     42481.1300782003 256.4215618094 81.0876176512 201299358 75100     42119.6894530999 66.1599317730 20.9216074248 201299358 75100     43277.0820313001 168.2917717114 53.2185310084 201299358 75100      
234881024  46423.2343752000 136.8511905280 43.2761462583 0 75433     43064.4417969002 175.0483174724 55.3551383805 0 75433     55560.0964844999 143.8259588576 45.4817616657 234849338 75434     57017.0050779000 154.5474056666 48.8721808387 234849338 75434     49151.0988280999 95.1372398482 30.0850368228 234849343 75434     49083.4402346001 84.0191412918 26.5691853539 234849338 75434     49178.6019532000 57.0283024963 18.0339326985 234849338 75434     49955.7949218001 144.7338532958 45.7688630957 234849338 75434      
268435456  53833.9160156998 201.5736105594 63.7431725565 0 75722     49885.6406248000 90.2220987912 28.5307327467 0 75722     63476.3070311999 64.2677791626 20.3232562318 268399079 75723     65166.7347654998 152.3618677559 48.1810530676 268399079 75723     56335.4187501999 168.1843397728 53.1845580465 268399047 75722     56260.9503907000 285.7925264601 90.3755321887 268399079 75723     56495.3988278998 216.3011391539 68.4004260230 268399079 75723     57412.1691406998 160.0953647133 50.6265995340 268399079 75723      
301989888  61069.7457031002 309.7836923366 97.9622049781 0 75957     55970.7121095000 137.0974098573 43.3540076468 0 75957     73829.7109373000 527.1248501383 166.6915137747 301949011 75958     76178.3249999998 169.6790139712 53.6572155292 301949011 75958     65547.7367185998 356.5294064033 112.7444977086 301948957 75958     65555.0636719001 412.0720073982 130.3086103404 301949011 75958     65069.1414062002 193.7533366833 61.2701848189 301949011 75958     66753.6246095001 854.3491645436 270.1689277078 301949011 75958      
335544320  69135.7429688000 1035.8152983423 327.5535578079 0 76100     63288.6851564001 654.4397431149 206.9520179623 0 76100     83905.0499999999 1551.4737973239 490.6190929720 335498927 76101     84954.2734374002 1000.7179480693 316.4548011377 335498927 76101     72472.3078123999 304.8350461165 96.3973056391 335498799 76101     72861.7585936999 472.4001961084 149.3860586845 335498927 76101     72910.6054686999 667.9677645052 211.2299539453 335498927 76101     74816.8968752001 569.6958393610 180.1536425941 335498927 76101      
369098752  74354.1789064002 585.1729096335 185.0479219509 0 76257     68321.4351563001 546.7577556033 172.8999836105 0 76257     91436.5609373002 1264.6842744035 399.9282828198 369048816 76258     92145.1484374000 217.9498127099 68.9217823785 369048816 76258     79288.4765625000 149.2447673361 47.1953393654 369048800 76258     79407.1874999000 632.0181921275 199.8617009828 369048816 76258     80035.4812501000 644.6008789674 203.8406959327 369048816 76258     82560.8515625001 1469.8275190062 464.8002727754 369048816 76258      
402653184  82226.2328125001 1455.1416288818 460.1561865493 0 76398     74393.1335935000 252.3839911476 79.8108257007 0 76398     99940.9523439002 999.9639221691 316.2163572118 402598744 76399     103589.4757811999 1788.5823884398 565.5994130456 402598744 76399     86594.5593750002 1016.5866907031 321.4729381704 402598687 76399     86452.6335938001 473.5946280998 149.7637712448 402598744 76399     86240.9078124002 481.8732142839 152.3816900596 402598744 76399     90071.0914061998 3030.9463072790 958.4693796885 402598744 76399      
436207616  90106.3648438001 802.3269477582 253.7180583101 0 76575     81517.5640624000 122.3477107343 38.6897432436 0 76575     107343.3281250000 628.2276398879 198.6630231160 436148702 76576     110466.9187498000 1031.9743955034 326.3389576836 436148702 76576     93422.0460937999 708.0788308249 223.9141868404 436148688 76576     93427.2804688000 953.5564313424 301.5410200609 436148702 76576     93022.9390625000 465.7383470549 147.2793970407 436148702 76576     95295.8031249999 667.8076580228 211.1793238300 436148702 76576      
