570425344  570425344  603979776  123369.9453125999 552.4083444696 174.6868567044 0 76989     112533.0000000002 282.5593490515 89.3531117196 0 76989     148551.1984374998 239.3824432963 75.6993752688 603898243 76990     153677.6109374999 754.2507048254 238.5150154087 603898243 76990     131951.3375000001 469.8082349489 148.5664085974 603898009 76990     132128.3984375000 214.1527831014 67.7210561879 603898243 76990     132344.1765624999 248.3848568493 78.5461883955 603898243 76990     133075.7015624003 2845.4457693035 899.8089589683 603898243 76990      
637534208  129074.1117188999 228.6829514173 72.3158988543 0 77071     118737.8656250999 324.6285411530 102.6565583563 0 77071     158709.6515625000 385.4259198671 121.8823776071 637448176 77072     158785.1531250003 858.7795639471 271.5699430137 637448176 77072     135355.7453125001 254.4415914118 80.4614960356 637448112 77071     135490.5921874999 148.2707000421 46.8873122410 637448176 77072     135996.8718749999 1135.4963271654 359.0754668676 637448176 77072     142887.5562500001 2619.4807456547 828.3525443404 637448176 77072      
671088640  671088640  134907.8085937500 130.3553626393 65.1776813196 0 77136     124219.5839842500 663.8760272545 331.9380136272 0 77136     159744.0429687501 283.1456725848 141.5728362924 670998130 77137     164014.3906250000 246.7448146987 123.3724073493 670998130 77137     141488.6054687499 383.8008468823 191.9004234411 670997916 77137     141516.5546875000 310.8193191709 155.4096595854 670998130 77137     141368.3046875001 140.2908126915 70.1454063457 670998130 77137     144182.0546875000 274.1801511592 137.0900755796 670998130 77137      
704643072  141108.0312500000 254.8527809175 127.4263904587 0 77240     131308.0996092500 586.5062155473 293.2531077736 0 77240     168627.5117187500 96.6663355679 48.3331677839 704548026 77241     172959.8789062501 236.7749302060 118.3874651030 704548026 77241     147971.7187499999 632.2526596373 316.1263298186 704548026 77241     148371.3554687500 280.6346919073 140.3173459536 704548026 77241     148389.7734375000 259.8090728076 129.9045364038 704548026 77241     150734.5976562500 445.7440594105 222.8720297052 704548026 77241      
738197504  147764.1718750000 307.7455481861 153.8727740930 0 77273     136696.7382812500 39.2010903446 19.6005451723 0 77273     174551.3906250000 422.1529767065 211.0764883532 738097831 77274     179175.5273437500 529.8615732857 264.9307866428 738097831 77274     154966.5664062501 527.9210280690 263.9605140345 738097811 77274     154631.8242187500 159.8973921145 79.9486960572 738097831 77274     154673.1523437499 97.9952859588 48.9976429794 738097831 77274     157197.7695312500 93.6111240264 46.8055620132 738097831 77274      
771751936  155158.0898437501 187.9866741138 93.9933370569 0 77311     144339.2226562501 159.9194928758 79.9597464379 0 77311     184906.4023437499 298.4311807727 149.2155903863 771647734 77312     188790.2382812500 72.8317787592 36.4158893796 771647734 77312     161868.0273437499 226.3589784067 113.1794892033 771647687 77311     162043.8984375000 176.1495939347 88.0747969673 771647734 77312     162416.8789062500 162.1341471409 81.0670735704 771647734 77312     165491.4648437500 809.4859027919 404.7429513959 771647734 77312      
805306368  161061.5781250000 461.2134572951 230.6067286475 0 77362     150159.2539062500 254.1543417355 127.0771708677 0 77362     191538.8593749999 322.6037959280 161.3018979640 805197441 77363     196002.5664062500 395.6568074807 197.8284037403 805197441 77363     169667.6992187500 59.8347882418 29.9173941209 805197273 77363     169854.0859375000 213.8181503427 106.9090751713 805197441 77363     169635.1757812501 323.5671998340 161.7835999170 805197441 77363     171848.0507812500 168.6646694824 84.3323347412 805197441 77363      
838860800  168366.9531250001 175.6632451129 87.8316225564 0 77427     159429.3437500000 50.5480043987 25.2740021993 0 77427     201389.7617187500 191.9158044691 95.9579022345 838747392 77428     205487.8984375000 96.9560266823 48.4780133411 838747392 77428     176732.0937500001 704.5714233667 352.2857116833 838747272 77428     177015.9726562500 412.6485572091 206.3242786045 838747392 77428     177288.9960937500 412.1783093757 206.0891546878 838747392 77428     179714.1250000001 421.6540270051 210.8270135025 838747392 77428      
872415232  174772.3203125000 288.7143279000 144.3571639500 0 77460     164924.8281250000 881.6395131343 440.8197565671 0 77460     206851.2890625000 440.9073979618 220.4536989809 872297487 77461     211677.7421875001 323.6850553475 161.8425276737 872297487 77461     182461.7929687501 717.7433565976 358.8716782988 872297291 77460     182489.2968750001 380.2474418385 190.1237209192 872297487 77461     182795.3437500000 573.2813408512 286.6406704256 872297487 77461     184583.8164062500 137.0079912885 68.5039956442 872297487 77461      
905969664  181810.0585937501 501.8555825904 250.9277912952 0 77493     172340.1132812500 258.6608697431 129.3304348715 0 77493     216360.4960937500 478.9172751203 239.4586375601 905847376 77494     221797.1601562500 184.0967923872 92.0483961936 905847376 77494     190223.5351562500 476.9152134596 238.4576067298 905847317 77494     190517.8359375000 328.5771115170 164.2885557585 905847376 77494     190676.1601562500 185.5704195040 92.7852097520 905847376 77494     193060.1562500000 361.3545227969 180.6772613984 905847376 77494      
939524096  187709.5585937501 346.9987718778 173.4993859389 0 77551     176398.1171874999 780.0934022456 390.0467011228 0 77551     223220.1640624999 510.5277895884 255.2638947942 939397196 77552     229100.5312499999 206.0098285985 103.0049142992 939397196 77552     197013.6210937499 661.0786084070 330.5393042035 939397156 77551     197045.3515625000 197.1033251482 98.5516625741 939397196 77552     197452.1210937500 410.1090211647 205.0545105823 939397196 77552     203803.0156249999 715.7937496635 357.8968748317 939397196 77552      
