33554432  783.9220153000 7.5292219933 2.3809490508 0 17     5176.1721191999 72.2247004748 22.8394556828 0 17     595.5295898998 26.6960389406 8.4420287558 143 17     794.9703979997 7.0237663042 2.2211099274 135 17     137.3503655001 22.3768357081 7.0761767666 143 17     128.6031233999 12.6195490477 3.9906518035 143 17     116.6826355001 15.2592569366 4.8254007322 143 17     56.5823835999 4.7571289822 1.5043362707 143 17      
67108864  1574.2921630998 5.7778570385 1.8271188236 0 20     10843.5970702001 48.8448078110 15.4460844559 0 20     1109.2181396001 7.0362105198 2.2250451339 125 20     1535.8307618001 7.3634591968 2.3285302520 151 20     195.2010086000 2.3472925890 .7422790916 125 20     197.1868317001 4.4041415531 1.3927118445 125 20     191.5176484000 4.3431368206 1.3734204543 125 20     106.1138397000 15.3173410978 4.8437685567 125 20      
100663296  2481.4608155000 16.9883336754 5.3721828066 0 23     16586.1970702001 27.6000971442 8.7279170619 0 23     1758.2340453000 12.0511362489 3.8109038940 219 23     2363.1130614001 10.3132911117 3.2613490086 150 23     305.5499023000 30.8183902328 9.7456306957 219 23     287.6199492001 11.4493654646 3.6206072632 219 23     287.1693694000 9.8179079957 3.1046951125 219 23     141.7847367000 4.0690720693 1.2867535702 219 23      
134217728  3293.1821534001 23.6377936770 7.4749266882 0 22     22330.2925782001 78.6778900238 24.8801333976 0 22     2194.8181397001 3.4363520116 1.0866699198 257 22     3064.5574949999 13.2382387787 4.1862986750 145 22     399.4466307000 20.4237306831 6.4585507277 257 22     385.5270875000 10.7593813864 3.4024151396 257 22     389.4106353000 17.4946917643 5.5323072938 257 22     193.3943832000 13.6322166037 4.3108854025 257 22      
167772160  4309.2064940002 48.0625907828 15.1987257125 0 23     28608.6406250999 70.2047297983 22.2006848684 0 23     2886.2789064000 4.0808739091 1.2904856396 155 23     3879.7919923001 11.1132401557 3.5143151077 135 23     473.8036497999 6.9026600590 2.1828127700 155 23     465.4736266000 16.0583749722 5.0781040434 155 23     478.0699737000 16.3778707461 5.1791374782 155 23     251.3722991000 28.4410386418 8.9938461130 155 23      
201326592  5767.2292969001 55.5098350505 17.5537511303 0 23     34391.5644531999 147.2586853175 46.5672850855 0 23     3667.7880860001 6.4038847814 2.0250861782 191 23     4997.5385255000 15.9358219414 5.0393493722 144 23     617.8536377000 52.3176322745 16.5442879778 191 23     571.1843322000 40.1803066360 12.7061286056 191 23     565.0416503001 23.2859518474 7.3636645324 191 23     292.2833863001 41.3798284688 13.0854507151 191 23      
234881024  6874.2250976000 59.1640407480 18.7093124346 0 23     40475.3011717999 180.2611867791 57.0035923959 0 23     4592.4286132002 31.7515308681 10.0407156742 191 23     5960.1755372001 34.3311657117 10.8564678379 122 23     673.4587402000 11.9698471912 3.7851980369 191 23     651.2769714001 10.8254297407 3.4233014631 191 23     648.8116821000 19.5476227286 6.1815010665 191 23     313.0894807000 5.3553769917 1.6935189022 191 23      
268435456  7883.5069825002 155.2717190369 49.1012288376 0 23     46931.1187501003 564.9899325323 178.6655041905 0 23     4907.3817870001 15.0771748465 4.7678213196 255 23     6659.1221191000 18.8083766608 5.9477309339 139 23     728.8426514999 6.7929517799 2.1481199660 255 23     711.3668640000 10.8263740573 3.4236000822 255 23     819.6134704001 116.5565487678 36.8584170322 255 23     383.8744507000 23.9661422457 7.5787596225 255 23      
301989888  8664.8034179000 107.8126008596 34.0933379190 0 23     53121.7511719001 234.3714982270 74.1147753039 0 23     5846.8827148000 23.1919506135 7.3339387322 289 23     7729.0853028001 19.5914534243 6.1953615495 152 23     932.1465698999 58.0906016420 18.3698611842 289 23     887.9976259000 21.2044332106 6.7054305439 289 23     891.4194886000 36.7906024366 11.6342100191 289 23     418.2828703000 42.4544172320 13.4252655191 289 23      
335544320  9557.2488281999 58.6543211952 18.5481249591 0 23     59774.0402343000 166.2947616260 52.5870209704 0 23     6103.0710937001 21.7232620664 6.8694986340 322 23     8333.9506836001 18.4537610517 5.8355916321 172 23     1013.3211913000 30.0545036582 9.5040685507 322 23     987.3406799000 33.9757116491 10.7440633938 322 23     962.2861084001 16.6186191011 5.2552687927 322 23     442.6601565003 24.9019083135 7.8746748357 322 23      
369098752  10552.7871093999 55.4598757550 17.5379526139 0 21     
