0.70  487.3281095000 .9294270114 0 569     1386.7197877501 11.2598012779 0 569     290.3844755000 1.0738200574 437935 569     350.8308410000 .9310173993 438063 569     93.6151542500 6.8616931135 437935 569     93.9018362501 6.7035900360 437935 569     91.8255312500 .9662746461 437935 569     70.7826767500 .2440420469 437935 569      
0.71  471.0916137500 4.2297142354 0 558     1361.6697997500 11.1604615848 0 558     289.6848375000 .9368713108 440709 558     349.3705060000 1.3587500365 440709 558     86.7424375000 .8506898896 440709 558     85.2645665000 1.1001245761 440709 558     87.6684935000 1.1964786657 440709 558     75.9532660000 11.3744286801 440709 558      
0.72  496.0617370000 .8424373598 0 537     1338.1299440000 2.7492087446 0 537     289.4621197500 .1611147451 442193 537     351.3502730000 1.7208945114 442193 537     86.9782297500 1.1621607426 442193 537     86.8533495000 1.4261079515 442193 537     90.6636220000 3.9975083676 442193 537     71.1881602500 .6595064861 442193 537      
0.73  474.7716215001 10.4094974505 0 568     1331.4250490000 10.7153106821 0 568     290.3147505001 .4322381525 445831 568     349.0066375000 1.3145825600 445952 568     86.7933502501 1.8019705265 445831 568     84.9362754999 .9751666341 445831 568     89.6447257500 2.4573438814 445831 568     70.5879094999 .5340460334 445831 568      
0.74  465.4176255000 .9857041670 0 561     1343.6992492500 16.4849464335 0 561     290.3320085001 .5841046580 448261 561     354.5921937500 10.6940645501 448261 561     87.3425637500 .6837965524 448261 561     87.7329350001 4.5400312208 448261 561     90.2642977501 4.5654206607 448261 561     74.7992440001 5.1524515267 448261 561      
0.75  507.8353345000 2.2077772635 0 540     1347.8882752501 10.3526246552 0 540     289.2064362500 1.8156119721 449922 540     355.3454587501 9.8619588844 449922 540     88.4652632501 1.8339659964 449922 540     88.1021175001 1.1951210572 449922 540     94.9213105000 10.4106605113 449922 540     71.1300487500 .7933257616 449922 540      
0.76  449.9948730000 .4621899025 0 565     1322.6056822501 8.6123166157 0 565     291.6669462500 .6129848454 452939 565     351.6542512500 .5713210811 453003 565     89.8542120000 1.1435620831 452939 565     89.4727365000 .7476192894 452939 565     95.6137410000 11.6982299247 452939 565     72.7218929999 .8690905975 452939 565      
0.77  469.5541382500 .6736523116 0 566     1344.0891722499 2.6114264896 0 566     292.2650527500 .8025315319 455802 566     350.8213805000 1.1187857874 455802 566     88.5597497500 .5840190605 455802 566     87.0934105000 .5393174273 455802 566     89.8880692500 .4123525518 455802 566     72.3907987500 .7671420681 455802 566      
0.78  499.0134810000 1.8348491748 0 547     1360.7893675000 17.7447032262 0 547     291.1116792501 1.2516471902 457673 547     351.5555267501 .6715666296 457673 547     89.9939367500 4.8363385493 457673 547     87.2599757501 .7561947149 457673 547     95.4488982500 10.6344713825 457673 547     73.0610217500 .8044477198 457673 547      
0.79  455.4432832501 9.2028801957 0 560     1356.0318300000 9.7635205031 0 560     290.8738477501 1.6437485895 460495 560     351.7357482500 1.4648697199 460636 560     90.0604630000 1.5481031194 460495 560     88.9062597500 .4045538420 460495 560     91.3714867501 .8726886812 460495 560     73.6128197500 .4153802533 460495 560      
0.80  476.8618162499 3.5657395424 0 553     1342.8358155000 11.9352075827 0 553     292.8191990001 1.7895895376 463422 553     356.6669387501 10.6308337166 463422 553     90.8869575001 .7345523257 463422 553     89.9178865000 1.1952757323 463422 553     98.3240260000 9.2210912499 463422 553     76.4081172500 4.1586900937 463422 553      
0.81  454.6878507500 .2287574663 0 551     1339.7054445000 9.8057721363 0 551     297.5682144999 9.0538735118 465465 551     351.7668912499 1.6658703052 465546 551     91.0350512499 1.1197885842 465465 551     90.4173637500 .5576378129 465465 551     94.0377177500 5.6831634741 465465 551     73.0720902500 .5595272511 465465 551      
0.82  453.7933352500 1.2559170473 0 551     1347.7548830000 10.4678257513 0 551     297.2371065001 9.7224744564 468007 551     353.6740875000 1.5531028399 468092 551     91.9408455000 2.9036842636 468007 551     93.2934055000 7.1397388764 468007 551     94.6419945000 6.1798523347 468007 551     74.6831190000 1.1676281454 468007 551      
0.83  479.3758315000 9.7283516215 0 563     1340.2881467500 17.7724218605 0 563     295.6844562501 .8957418592 471086 563     354.8031387501 .5204332607 471086 563     94.5383110000 7.0207488781 471086 563     90.3442992500 .5668763369 471086 563     92.1153087500 .9784430707 471086 563     76.7889825001 3.9968234197 471086 563      
0.84  520.1330412500 11.0395010421 0 543     1332.5096742500 7.4948103950 0 543     293.8903122500 1.8012515376 472770 543     352.2443312500 .4740426338 472770 543     96.8484785000 9.0400156434 472770 543     90.3385182500 1.4589733526 472770 543     95.9096657500 4.5475550297 472770 543     77.8746872500 3.4765461906 472770 543      
0.85  457.6172257500 .9213665714 0 548     1338.2348937500 9.4624699104 0 548     293.8069000000 .8784090494 475688 548     358.2986755000 10.5922681116 475738 548     92.2524604999 .4956184576 475688 548     90.9427890000 .4888328919 475688 548     95.7512492500 1.4179199761 475688 548     79.9810945000 7.6526662104 475688 548      
