0.70  530.6217422500 10.3617780647 0 569     1445.5046691250 18.5144832768 0 569     307.5541229999 2.5420599388 437935 569     366.2482682501 8.2607476826 438063 569     100.9593277501 6.6010759012 437935 569     85.3022795001 1.5684786334 437935 569     101.8969267498 10.1387955735 437935 569     78.1190003751 6.6452373177 437935 569      
0.72  552.2170258751 8.7583056823 0 537     1426.1890106251 34.6522241918 0 537     291.7412302499 3.6701640731 442193 537     367.9353371252 6.9220746651 442193 537     105.9285441250 4.2085057604 442193 537     107.3675376251 5.5046463958 442193 537     105.4551342500 5.1452470707 442193 537     79.6207532500 5.1072163161 442193 537      
0.74  517.6936606249 6.1030322649 0 561     1434.4553680000 17.0601715113 0 561     312.3053627499 9.3648879367 448261 561     369.3632658750 2.0588286909 448261 561     106.0078505001 2.3687544019 448261 561     107.8903445001 2.1095915623 448261 561     110.8047343751 3.2639506939 448261 561     79.3314886250 2.3528926866 448261 561      
0.76  510.1893386252 11.3383347488 0 565     1397.4691313749 35.1532840296 0 565     307.7828787499 6.1804190220 452939 565     372.4187470000 8.3180914849 453003 565     118.0830421250 5.9432779732 452939 565     112.1752661248 5.8588777110 452939 565     119.8099183750 6.1206631248 452939 565     84.3550357499 8.6945510086 452939 565      
0.78  552.5516356250 9.3663355434 0 547     1444.7773285002 10.3138770854 0 547     311.4894257500 3.7457064055 457673 547     367.1262166249 5.7580017016 457673 547     107.2311412500 4.6274963940 457673 547     106.8985586250 5.5780838909 457673 547     107.4248637499 4.4037090346 457673 547     82.9012948751 8.5375318553 457673 547      
0.80  506.9883003750 18.5346053074 0 553     1429.7663421249 18.4243237740 0 553     313.6399649999 12.2769305339 463422 553     369.9620285001 2.3046046859 463422 553     106.9617786249 4.3865306097 463422 553     106.5905999999 5.4192729444 463422 553     113.2027207499 6.7552376118 463422 553     78.9424343751 3.5392311521 463422 553      
0.82  466.8460236252 10.1629643111 0 551     1360.7104642500 12.7265917146 0 551     316.5787621252 9.7459640698 468007 551     370.8846513751 4.1490454672 468092 551     106.8992586250 8.1202159940 468007 551     109.8845052500 6.2858684537 468007 551     114.1342714999 5.8879454352 468007 551     82.1506995000 2.3484669117 468007 551      
0.84  558.3406602500 3.5245324508 0 543     1408.4129182498 19.2190741624 0 543     312.4871141250 7.4917688767 472770 543     372.7296714999 9.2318728318 472770 543     110.1066972500 5.6983223074 472770 543     108.9548683749 6.6209529433 472770 543     110.2726155001 5.7466332795 472770 543     83.1983547500 3.7280909109 472770 543      
0.86  538.2834548750 6.3883651958 0 562     1373.7194825001 42.8642355411 0 562     307.6992454998 9.2050534339 478743 562     373.8528251252 8.7876700300 478743 562     106.0205097500 4.5921358835 478743 562     93.4224720001 7.2778170906 478743 562     93.7309818749 9.0862019585 478743 562     75.6345557500 1.5326996306 478743 562      
0.88  470.8747672501 6.9184873481 0 556     1421.3026888751 15.6051143063 0 556     318.1976927502 7.8738516965 483328 556     373.5181006251 2.4146235345 483352 556     111.0170458751 4.3372771199 483328 556     108.9588250001 3.6999018443 483328 556     113.9303647500 6.4076551932 483328 556     83.4014846250 1.5380719639 483328 556      
0.90  538.5390320001 19.9873437107 0 547     1385.0501556250 43.1265505776 0 547     319.5666427501 10.2435414813 488281 547     374.1344793750 3.3633370938 488281 547     116.4151935001 8.3559703427 488281 547     113.0066338749 7.6944734768 488281 547     112.7142485000 3.8749312530 488281 547     86.9970063751 8.7509192801 488281 547      
0.92  530.8056717501 12.0003047818 0 570     1403.7976686250 15.5956657264 0 570     308.6382332498 10.9605284512 494388 570     357.0656547501 2.2936314620 494404 570     96.3468093750 6.7332740384 494388 570     92.0881233751 .9917256471 494388 570     93.2355869999 .8317166812 494388 570     77.7023678752 7.8901271025 494388 570      
0.94  479.6153448749 7.2600648267 0 567     1418.1677245000 26.6338766273 0 567     320.0177653751 7.7073038754 498712 567     376.3376390001 2.3771615363 498787 567     111.1585092499 2.0746851683 498712 567     115.1369247500 7.0577818832 498712 567     121.5629073750 4.3606942556 498712 567     86.6696491251 2.6248046760 498712 567      
0.96  567.5193480000 8.8830341263 0 563     1412.4896241250 20.4060768203 0 563     314.2081221250 2.7415156402 503946 563     374.6815604999 1.3849239939 503946 563     114.0587901250 4.3506643210 503946 563     114.0179567500 9.6841104020 503946 563     116.1965685000 6.0826821731 503946 563     90.3011800001 10.0081740066 503946 563      
0.98  554.5589142499 11.1147577281 0 575     1400.0578612499 6.6584677065 0 575     321.3496057499 8.7758466132 509840 575     375.6221467499 2.6804619646 509749 575     116.3091470000 3.9968063910 509840 575     112.4868526250 4.1682322084 509840 575     118.4400815000 7.5867654670 509840 575     86.5228720001 7.9300838636 509840 575      
1.00  486.1600455002 5.4081752258 0 573     1362.1235351249 31.5962762300 0 573     321.7571831250 8.3687327827 514335 573     377.3550566251 1.8878839108 514390 573     118.8276833750 6.8234299204 514335 573     115.9626357502 4.3226140231 514335 573     121.8509216250 8.4635301085 514335 573     91.3154431250 10.3567589203 514335 573      
 
