0.00  1791.5114440000 9.3042822773 0 59110     1660.0581970000 12.2086965087 0 59110     2109.3698730001 12.0712582256 9998640 59111     2173.1535034999 25.2228509124 9998643 59111     1911.5973207500 22.2487586832 9998639 59111     1868.6258240001 7.3793817633 9998640 59111     1878.0704345000 25.1708771978 9998640 59111     1918.2139587499 13.8501027565 9998640 59111     3636.3341675001 40.3321001557 9998646 59110     3623.3483275000 16.2134767061 9998649 59111      
0.02  1499.2262877500 6.7971020941 0 463     1370.9628295000 13.1893740873 0 463     1753.3360900000 37.2112381046 8691599 463     1705.5489195001 7.0693907366 8691626 463     1445.8763430000 14.7101034275 8691599 463     1433.7969667499 10.2708510361 8691599 463     1445.3548277500 16.1974957707 8691599 463     1497.9430542500 10.8598211687 8691599 463     3010.9401245000 27.0575877931 8691599 463     2988.9514772500 23.7226019786 8691626 463      
0.04  1467.5198367500 9.9538984544 0 469     1361.8200072500 3.8378814838 0 469     1382.6695555000 8.5981956684 7141680 469     1403.1778869999 22.7288596248 7141497 469     1125.2388610000 14.1007830638 7141680 469     1130.9097899999 9.0209236519 7141680 469     1131.2712405000 4.9881035690 7141680 469     1161.9238282501 12.5776971947 7141680 469     2454.3086547500 8.7405865137 7141680 469     2455.8835450001 5.8635847144 7141497 469      
0.06  1416.6770324999 11.0517024878 0 461     1364.6607362500 11.0615034104 0 461     1102.9061280000 6.2768517098 5151988 461     1102.1586607501 2.1862448449 5154899 461     815.0658722501 9.3066906078 5151988 461     828.0229337499 23.4178208923 5151988 461     839.4311065000 2.9531377671 5151988 461     834.9408722501 17.8916651129 5151988 461     1784.8833315001 9.0705546212 5151988 461     1788.8466187500 10.3369069254 5154899 461      
0.08  1390.6608275000 7.3829232671 0 491     1354.4602050000 10.4408220700 0 491     528.6583250001 .1820513139 1811338 491     542.1081237500 1.4634172477 1811338 491     283.5601655001 3.9619147722 1811338 491     281.6607817500 2.8750958775 1811338 491     283.3513490000 3.3902357742 1811338 491     264.4400940000 1.5589348014 1811338 491     657.0524142500 1.8576145569 1811338 491     653.6296387500 4.5342825994 1811338 491      
0.10  1344.9195862501 10.4668768457 0 467     1347.1317747501 4.5365388654 0 467     297.1037672500 9.6413489030 283606 467     308.8255465000 3.8159326201 283549 467     68.5025120001 1.1274606676 283606 467     67.1567057499 .5957773535 283606 467     70.3737470001 1.7474590215 283606 467     58.7167290001 12.0044230887 283606 467     77.6067562501 .3582085897 283606 467     77.6775132501 1.1553305507 283549 467      
0.12  1337.1438600001 25.0735711717 0 504     1346.1041257501 11.3428098754 0 504     290.0411225000 1.1463622555 288106 504     305.3490674999 .4131520706 288192 504     65.9616335001 1.6426907170 288106 504     64.8157395000 3.2182740529 288106 504     67.7604617500 .8248182467 288106 504     51.6081362499 1.0617237981 288106 504     78.0357647500 .4606071824 288106 504     77.8352110000 .0653515455 288192 504      
0.14  1254.7321470000 7.8971599979 0 486     1361.9002075001 12.6394390157 0 486     292.7815627501 3.4572586269 293425 486     305.3822022499 .7096040474 293490 486     67.5149839999 .1667480776 293425 486     66.4365312500 .1157794731 293425 486     71.4092805001 5.0082287583 293425 486     53.1508912499 4.8547164609 293425 486     87.0571517501 5.8941960568 293425 486     89.4147567500 1.0876486197 293490 486      
0.16  1197.5712890001 10.0948661275 0 479     1348.8972475000 10.4594736690 0 479     292.5125732501 2.1234455498 298883 479     304.6623687501 1.8511257994 298854 479     69.6160317499 .1963411798 298883 479     69.0434362500 .1860061498 298883 479     81.5520782501 19.0135827090 298883 479     54.8592855000 .2876736988 298883 479     100.3212797500 .5166267492 298883 479     101.1063307500 .8005718842 298854 479      
0.18  1186.6572569999 1.7793616420 0 488     1367.3439332501 11.3711413753 0 488     296.7378462501 12.7897939607 303782 488     304.3200072501 2.5361266670 303782 488     67.9562357500 2.0180778430 303782 488     68.1822337500 1.5996287472 303782 488     70.0128460000 .7840977249 303782 488     52.5242957501 1.1553662426 303782 488     109.9559440000 1.1886962334 303782 488     114.7813852500 9.5413256560 303782 488      
0.20  1112.5201417500 4.6131357429 0 484     1371.4320677501 11.5507331469 0 484     289.0320360000 1.4025617927 308844 484     308.5002822500 6.6483527095 308859 484     82.0383895000 .6343654911 308844 484     80.7879657500 2.0093252469 308844 484     77.4222012501 4.9606222619 308844 484     56.2698137500 .7811503670 308844 484     108.6922262500 15.7061373280 308844 484     117.2523042499 1.1510581146 308859 484      
0.22  1109.3540040001 10.2806585567 0 493     1361.4575197501 8.1493881057 0 493     286.7095107500 1.0398016431 314377 493     301.0284424999 2.6227742218 314390 493     71.7410622500 2.0551683148 314377 493     71.4543302501 2.0446320602 314377 493     76.3264200001 7.2350142550 314377 493     56.0317037501 1.2470158869 314377 493     122.6982937500 1.0531604647 314377 493     124.3701764999 .6811302019 314390 493      
