0.42  51883.6044922501 341.1052866271 0 2422     185025.3242187500 770.5820092866 0 2422     30531.5747072501 119.0279312077 36498979 2422     36468.5205080001 142.6813781454 36499073 2422     9905.3623047500 222.8298891684 36498979 2422     9989.9482422500 136.8325529517 36498979 2422     10558.9858397499 332.8125529177 36498979 2422     8692.3071287500 382.3177683549 36498979 2422      
0.44  54365.6406249999 869.7214090066 0 2431     183316.1835937501 228.4591183252 0 2431     30709.7753905000 133.1334055645 37015031 2431     36681.5664062500 12.6134285217 37015031 2431     9757.7985842500 16.9773320566 37015031 2431     9748.7434082499 48.0933021844 37015031 2431     9656.4379884999 20.3228753539 37015031 2431     7996.6763915001 55.2991785538 37015031 2431      
0.46  51455.1718750000 858.4916351058 0 2450     181749.5546875000 109.5204096662 0 2450     30829.4682617500 46.3843907264 37531312 2450     36911.2841795000 74.7948410648 37530754 2450     9857.4047852501 9.6579311843 37531312 2450     9797.5759277500 13.7571924460 37531312 2450     9843.1333007500 114.6120001843 37531312 2450     8019.9583739999 69.7542631690 37531312 2450      
0.48  51598.2861330000 132.0590123982 0 2456     183419.4296875000 163.2634273068 0 2456     30849.8623045000 36.1136766014 38044335 2456     36973.5009765000 110.8543464858 38044297 2456     9927.5939940000 21.1246865331 38044335 2456     9866.5632325000 9.5038221199 38044335 2456     9655.3786622501 169.8309157912 38044335 2456     7945.5241700000 54.4720979906 38044335 2456      
0.50  51532.6367190000 622.1892541029 0 2463     182471.1523437500 199.4751700977 0 2463     30490.6992187499 52.7907816148 38558517 2463     36563.0595700000 67.9988469628 38558534 2463     9687.3979492501 16.2970172031 38558517 2463     9616.7280272500 8.7837957269 38558517 2463     9549.3386230000 26.7782515647 38558517 2463     8077.6699217500 38.3948437019 38558517 2463      
0.52  51307.0869140000 642.5501676211 0 2483     183614.6953125000 230.4177240477 0 2483     30538.7866212500 39.6432345571 39075238 2483     36657.5595702501 66.2579390489 39075238 2483     9797.2963867499 19.3432269887 39075238 2483     9709.7509762499 25.8329311782 39075238 2483     9640.8024902501 6.5903854362 39075238 2483     8179.1937255000 13.2380989010 39075238 2483      
0.54  51902.6435547500 697.1142200918 0 2493     186622.9726562500 190.7535893880 0 2493     30691.0019532501 19.7677601118 39589117 2493     36762.2041017499 94.9177301263 39589117 2493     9873.1611330000 27.6258160495 39589117 2493     9798.5209962499 19.0668470729 39589117 2493     9743.3352052501 31.2858177757 39589117 2493     8264.0043947500 12.6018574606 39589117 2493      
0.56  55784.5527345000 586.4708274383 0 2481     191706.5507812500 1553.1678489213 0 2481     31030.8989255000 562.2316064314 40103544 2481     38677.5615235000 3421.4903296333 40103566 2481     10106.0927732501 63.7335328595 40103544 2481     10053.1545407500 119.8837256068 40103544 2481     10107.0280760000 92.5030578410 40103544 2481     8371.6999512499 252.8065812717 40103544 2481      
0.58  54731.1982422500 411.6437650487 0 2505     193633.7187500001 1680.0938481351 0 2505     31101.4008790000 503.5838880908 40619101 2505     38143.9814452501 562.5128923270 40619101 2505     10172.5681152500 395.7129242927 40619101 2505     10511.5302735000 130.2169957967 40619101 2505     10372.3730470000 28.7254941834 40619101 2505     8660.8989257500 452.9092797974 40619101 2505      
0.60  54061.4599607500 1114.8021961823 0 2517     194874.8710937500 1315.5651995746 0 2517     31470.2587889999 446.4082895375 41134364 2517     37983.3388672500 40.7293965267 41134364 2517     10132.7363282499 290.4184698763 41134364 2517     10570.8320312499 318.3892373110 41134364 2517     10045.9543455000 678.7623260029 41134364 2517     8644.9494630000 275.1198907917 41134364 2517      
0.62  54557.6435547500 1299.3970263989 0 2522     192424.2265625000 1234.8653252483 0 2522     32086.3476565001 170.5410606730 41646181 2522     38102.3408207501 91.9096744864 41646178 2522     10576.4719237501 137.1885358390 41646181 2522     10609.3381349999 576.3837528786 41646181 2522     10160.4470215000 340.9363757431 41646181 2522     9108.8063962500 486.4958639881 41646181 2522      
0.64  55537.4609375000 1848.9647396886 0 2535     192507.6679687500 2145.4117882376 0 2535     31120.6235350000 260.1482971190 42157257 2535     37933.4169920000 668.1058120235 42157114 2535     10851.5324707501 152.3493937123 42157257 2535     10398.4609375001 331.5605788276 42157257 2535     10642.3107910001 105.8341811194 42157257 2535     8870.6025390000 549.0612934382 42157257 2535      
0.66  55356.2871095000 629.7461585831 0 2540     193998.3906250000 955.4147270261 0 2540     31946.0986330000 501.1888054720 42671332 2540     37881.9423829999 422.9054495701 42671428 2540     11010.1904297500 94.2545909153 42671332 2540     10613.9743655000 1046.9079509564 42671332 2540     10725.6799315000 557.3460652713 42671332 2540     8946.5705567500 562.6985512947 42671332 2540      
0.68  55210.6835940001 792.8798181825 0 2567     193212.6249999999 1653.1706232382 0 2567     31902.2075195000 553.9436371909 43186083 2567     38413.0048824999 27.4540538536 43186204 2567     10775.0295410001 421.6325819657 43186083 2567     10777.9147949999 443.2243669141 43186083 2567     10580.5568845000 455.4969485206 43186083 2567     9168.5849607500 506.2948698956 43186083 2567      
0.70  55868.6806642500 705.0527612177 0 2555     195055.4882812500 593.9830280623 0 2555     32483.8168947500 247.8882020931 43699852 2555     38356.2246092501 227.9566005803 43700321 2555     10786.8605957501 496.6342492497 43699852 2555     11043.9609374999 481.0730667267 43699852 2555     10899.9572752501 456.2805570020 43699852 2555     9482.2287597500 523.1739806269 43699852 2555      
 
