33554432  855.9080140000 106.8325555391 23.8884856400 0 24     5162.2878417500 73.5810570591 16.4532245444 0 21     626.2710052998 96.0591935726 21.4794886696 113 24     653.8356385000 47.0488976194 10.5204533345 65 14     102.5611458003 3.3139028641 .7410112075 218 21     44.9363003000 2.6325111065 .5886473785 57 23     63.1641544003 22.3297470302 4.9930832281 208 17     55.1390661500 11.8362157580 2.6466583031 51 19     98.9329627000 10.4972611766 2.3472589568 53 20     93.9749069499 13.4858767770 3.0155337210 47 21      
67108864  1717.2182921499 171.5824362641 38.3669991240 0 19     10807.2451659499 101.3027352464 22.6519802322 0 19     1206.9572021496 179.8364153844 40.2126449638 177 20     1300.8782104997 135.5406034404 30.3078003010 71 23     198.3850502501 13.5632939904 3.0328447362 138 21     91.2672320000 2.5396562739 .5678844068 124 21     112.4525424502 10.1549331780 2.2707120893 93 19     103.2520870503 7.5859751611 1.6962756136 149 18     183.1582625999 17.3296857506 3.8750355367 80 20     188.8167824003 14.8926875496 3.3301061729 122 23      
100663296  2518.3982787999 275.7642044370 61.6627506896 0 16     16521.5193848001 125.1234708111 27.9784586320 0 16     1852.7230102000 228.1989251382 51.0268309012 129 18     2014.7637572997 303.3095603056 67.8220795083 80 21     284.2264099503 3.5315178797 .7896714042 56 18     133.8661781001 1.7445732323 .3900984339 420 19     155.1229347005 14.1961088237 3.1743464346 230 21     147.4597977002 13.2317620672 2.9587119445 154 18     291.5395873999 30.2529951271 6.7647753628 74 17     278.2662109000 29.9053124117 6.6870311442 95 18      
134217728  3424.9593018501 289.6176158368 64.7604676506 0 20     22332.6205078002 172.7031693433 38.6176026589 0 19     2313.7125792498 349.8289890535 78.2241400041 91 22     2489.1013428000 301.0946998883 67.3268216630 48 20     379.9210419005 20.0784970037 4.4896884187 52 21     174.6621849499 2.0617819673 .4610284633 102 22     201.3149077505 9.3280390991 2.0858129522 42 19     187.1193557503 9.7792137478 2.1866986707 374 18     360.9072218499 41.7316550096 9.3314817417 331 21     366.3900313496 41.3514802817 9.2464720882 228 22      
167772160  4187.3238769001 556.6717081121 124.4755780517 0 25     28234.5023438000 217.3933771094 48.6106369085 0 17     3283.9144042999 316.1859385430 70.7013252127 147 20     3361.3908813998 466.6063886297 104.3363603734 139 26     467.1451599000 4.7759350324 1.0679315388 63 17     217.4572510001 4.2240283739 .9445214583 148 21     250.8926703503 14.1746686366 3.1695522630 81 20     225.6089607499 5.8543683968 1.3090765700 195 28     492.6416120998 46.1042398477 10.3092214352 54 22     499.9159485498 57.4122987543 12.8377802761 48 24      
201326592  5029.9301513499 521.6875257969 116.6528770721 0 19     34139.8863281000 177.4737646620 39.6843402015 0 18     3696.5937621501 402.4784321494 89.9969133783 83 21     3782.8429564500 455.9921880807 101.9629529780 65 14     561.8131408500 10.6877196131 2.3898467579 82 19     261.9213112003 10.1848681829 2.2774057599 92 22     301.4423660502 16.2266647756 3.6283925487 529 21     270.5588394502 8.1448960540 1.8212541246 122 18     533.4297059501 55.2685396347 12.3584211643 340 20     535.7527800498 55.6157089156 12.4360505754 101 25      
234881024  5999.1945557002 641.8020683713 143.5113053010 0 17     40024.1419921000 258.5349582555 57.8101741232 0 25     4403.9817260499 632.2432037078 141.3738781834 116 20     4668.4201659499 737.8127706062 164.9799509779 117 19     650.4495758999 7.6621057867 1.7132989390 75 20     305.8498200000 14.2016980153 3.1755962158 154 24     340.5076355502 11.4357469839 2.5571107630 104 15     310.4864210001 5.7651484351 1.2891263801 95 17     663.7545684500 73.6461209691 16.4677732769 129 19     685.9580048500 64.9753438510 14.5289285715 125 22      
268435456  6935.5930907997 658.3257871523 147.2061211446 0 24     46212.4150390499 219.0151767402 48.9732823306 0 21     4990.1672607501 603.2889845402 134.8995179538 127 20     4810.6954834000 605.5177595476 135.3978871961 180 21     737.8918060999 4.6564557745 1.0412151646 79 21     345.5617462500 6.2992284285 1.4085502972 138 25     386.6380203002 5.1409911897 1.1495605772 82 19     350.1403197999 5.9799571410 1.3371590670 49 19     730.0788664502 78.9870334317 17.6620376098 56 19     684.6368836000 84.9627916260 18.9982577638 197 21      
301989888  7257.4696288001 760.7454390698 170.1078515370 0 20     52378.7369140000 305.6646708935 68.3486982453 0 21     6068.4257811498 629.7163146429 140.8088486113 117 18     6056.0217040498 709.5771652234 158.6662776756 86 22     844.5575073499 15.0444759834 3.3640470985 108 18     385.2597992503 6.6145703241 1.4790628886 52 21     438.4107650502 19.5558490482 4.3728207830 101 21     394.1251770501 9.8777187049 2.2087250487 107 18     839.3962218499 75.8167619676 16.9531433597 129 17     884.2621094499 68.0195902371 15.2096427575 85 17      
335544320  8080.1585693500 717.0545398297 160.3382694669 0 21     58501.2521484500 394.3845462780 88.1870654772 0 19     6396.3861814999 686.6063605675 153.5298496046 215 20     6162.5355956498 978.1789440907 218.7274613194 119 23     935.3212188499 9.2980220917 2.0791009453 301 24     427.0756988501 5.5305296653 1.2366640283 124 21     480.0011855500 9.3262293500 2.0854082800 130 19     435.3570450501 10.1851107410 2.2774599975 339 18     880.9681092002 98.5032704521 22.0260008741 151 26     904.8216095000 92.2571042029 20.6293156409 40 15      
