33554432  552.3362182001 4.7259996320 1.4944923058 143 0     740.6269409000 3.6788030288 1.1633396634 135 0     93.9969549000 .7831183038 .2476437517 143 0     92.5653497000 .2195478553 .0694271278 143 0     98.4426613000 3.3341491544 1.0543505386 143 0     52.2813173000 1.0798668852 .3414838927 143 0      
67108864  1113.9173707000 4.3291093523 1.3689845793 125 0     1542.2022583000 7.8256097666 2.4746750942 151 0     182.8473693999 1.8254472127 .5772570940 125 0     189.8467254998 23.1080629262 7.3074111162 125 0     239.1784898002 3.3313022272 1.0534502612 125 0     138.4038193001 2.2906553971 .7243688389 125 0      
100663296  1820.9897339000 4.6097949284 1.4577451520 219 0     2386.3567137001 4.4341388546 1.4021978242 150 0     358.7995025001 2.5630472069 .8105066924 219 0     350.5874908000 1.3522029211 .4276041089 219 0     353.5688477000 3.9007272154 1.2335182531 219 0     195.9622162000 2.4103302269 .7622133430 219 0      
134217728  2285.4045166001 8.5624251860 2.7076765883 257 0     3059.3081787000 6.1570660573 1.9470352445 145 0     457.7530578002 33.3929691660 10.5597840402 257 0     436.7536743999 2.2574278983 .7138613812 257 0     436.5261566001 4.6015107747 1.4551254726 257 0     217.9869491001 26.0960490924 8.2522953065 257 0      
167772160  2958.6781494001 6.7922878089 2.1479099999 155 0     3927.6916504001 12.2884476840 3.8859483590 135 0     564.0462280003 1.8059478994 .5710908697 155 0     553.1056151999 1.4846808338 .4694973033 155 0     551.3746276000 4.4598530604 1.4103293700 155 0     297.1313202000 4.2262319696 1.3364518944 155 0      
201326592  3736.4966065000 8.5849205884 2.7147902591 191 0     4980.6494628000 12.1611783896 3.8457022743 144 0     709.2584901000 3.8293658183 1.2109517980 191 0     695.9692565001 3.5608854208 1.1260508416 191 0     686.0991638001 3.8188099066 1.2076137256 191 0     289.9644441000 11.2548934057 3.5591097985 191 0      
234881024  4779.5056151998 59.6964993599 18.8776906320 191 0     6214.4719725000 19.3190039198 6.1092054513 122 0     864.0541684999 7.8881418072 2.4944494617 191 0     848.0185424999 9.5212085275 3.0108705024 191 0     839.8129211998 6.8759058949 2.1743523605 191 0     361.6185820999 3.5915164415 1.1357372209 191 0      
268435456  5104.6639649001 12.9387386019 4.0915884032 255 0     6754.9283690000 18.2059152774 5.7572159165 139 0     966.8068361002 23.0116454884 7.2769212453 255 0     931.3234924999 27.4512241384 8.6808392839 255 0     920.4534120001 3.7417323080 1.1832396488 255 0     407.0353636000 2.5311210681 .8004107609 255 0      
301989888  6121.8360839999 19.3270760235 6.1117580746 289 0     7980.3178220999 79.6794422565 25.1968520227 152 0     1102.2554810999 3.3544254519 1.0607624669 289 0     1084.8650024998 1.0565484774 .3341099647 289 0     1070.8073608002 5.5546488910 1.7565342098 289 0     457.3948150001 2.8291265164 .8946483580 289 0      
335544320  6479.4349608001 43.2994562239 13.6924903117 322 0     8471.3672852001 24.8032759802 7.8434845532 172 0     1196.9156005997 4.2194409762 1.3343043937 322 0     1182.0129273001 2.1764407498 .6882509961 322 0     1157.3493164001 2.3160201823 .7323898883 322 0     509.0040404999 12.3658222403 3.9104163420 322 0      
