0.00  212404.2578125001 1641.0608604810 0 77612     193370.8632812500 1452.8782226820 0 77612     240427.1953125000 579.7420361953 999864959 77613     245854.0273437500 349.9523317555 999864959 77613     210946.7695312500 368.4259251643 999864988 77613     210433.0664062499 333.8536371489 999864959 77613     209985.7773437500 1093.2864572322 999864959 77613     214891.7773437500 780.5055272006 999864959 77613      
0.02  181951.0898437500 1003.3437790674 0 2136     169236.7734375000 128.4228153988 0 2136     196140.6484374999 344.9571881697 868727364 2136     202365.8749999999 522.8356071490 868737179 2136     166660.2812500001 301.5477592468 868727364 2136     166888.2031250000 528.9540641853 868727364 2136     166027.5312500000 280.8773654124 868727364 2136     172471.7109375001 851.0442556729 868727364 2136      
0.04  179037.9218750000 1376.5541078182 0 2134     170410.7734375000 91.8519852303 0 2134     166706.1796874999 569.9482062115 713124688 2134     172566.9296875000 315.4704235499 713134657 2134     136798.2460937500 545.9754273005 713124688 2134     138550.8632812500 1828.3400745713 713124688 2134     136829.6640625001 135.7503683836 713124688 2134     140823.2304687500 678.1193337386 713124688 2134      
0.06  175662.5195312500 774.1100883819 0 2144     168064.6054687501 123.1334634986 0 2144     125870.7597655001 150.6187094019 514875764 2144     132133.2460937500 686.5396967906 514890829 2144     95938.1562500000 16.3261898630 514875764 2144     95877.8535155000 184.7215406585 514875764 2144     95997.4042967500 328.4265033898 514875764 2144     96883.0039062501 438.1208488003 514875764 2144      
0.08  171029.4531250000 1186.8908489018 0 2157     170142.6367187500 499.1183413914 0 2157     60873.1523440000 169.9659983523 182948898 2157     67610.1816402500 120.5578630485 183430775 2157     35490.3505857500 61.4786338853 182948898 2157     35320.7343750000 26.6810941249 182948898 2157     35330.7333985000 35.0921330699 182948898 2157     34255.1689455000 61.0617385813 182948898 2157      
0.10  167482.5859375000 351.4135688016 0 2184     169845.8828125001 933.9981098251 0 2184     31443.5625000001 24.1848582774 28279944 2184     37541.9882810001 141.3905789654 28280494 2184     7366.4014892500 13.7191683994 28279944 2184     7315.3000487500 8.3368632623 28279944 2184     7252.0916747500 13.9163312115 28279944 2184     5758.2906495000 5.6658744507 28279944 2184      
0.12  162868.3945312500 475.7409545017 0 2209     171934.8437500001 679.5795134523 0 2209     31407.8124999999 77.3022191442 28793548 2209     37439.1083985000 92.0692235438 28793938 2209     7505.1770017500 15.2538199525 28793548 2209     7420.1776122501 9.3437892705 28793548 2209     7337.8481445001 39.3148078418 28793548 2209     5946.7519530000 69.1074691668 28793548 2209      
0.14  158964.7929687499 575.1217115828 0 2213     172692.4414062500 96.2039107513 0 2213     31257.8793945000 51.0687179543 29307405 2213     37311.7773440001 26.0938914821 29308125 2213     7561.5753172500 20.8815284659 29307405 2213     7496.5289305000 26.3306892907 29307405 2213     7434.5588380000 29.0363780141 29307405 2213     5918.6162107500 3.6143903339 29307405 2213      
0.16  154002.4492187501 368.4006686104 0 2215     173351.4765625001 258.9681951959 0 2215     31242.3447265000 82.5564329026 29819512 2215     37283.7695312500 30.3187702195 29820358 2215     7682.4732667500 22.9246575674 29819512 2215     7614.5107420000 29.7792712159 29819512 2215     7553.9637452500 24.1843086746 29819512 2215     6042.1948242499 16.4626776032 29819512 2215      
0.18  147972.5468750000 264.1549496078 0 2228     172739.0703125000 283.0043509320 0 2228     31073.7109375000 49.6067721606 30328688 2228     37158.8115235000 62.5148888156 30328838 2228     7739.6315917500 4.5913931060 30328688 2228     7681.1406252500 7.5915014295 30328688 2228     7623.8480224999 19.6117682085 30328688 2228     6108.1126712499 11.1445949505 30328688 2228      
0.20  143057.8515624999 840.6169246727 0 2251     174845.7343749999 177.9394487695 0 2251     31149.6528320000 30.8335618205 30845312 2251     37295.1298827499 95.4518916042 30845288 2251     7968.2932127500 24.3421883562 30845312 2251     7927.5180665000 20.2322799355 30845312 2251     7824.5882570000 71.8959217781 30845312 2251     6321.1412352501 98.5000201177 30845312 2251      
0.22  137789.4414062501 2366.3686618485 0 2229     174357.8789062499 230.4991058310 0 2229     30984.6230467500 22.1228990233 31358478 2229     37182.2656250000 185.9827859869 31357934 2229     7981.9538575000 29.4991399608 31358478 2229     7940.7720945001 54.0397839091 31358478 2229     7915.0262452500 76.6880857008 31358478 2229     6448.9761965001 87.7594585794 31358478 2229      
0.24  130060.8554687501 715.4675301491 0 2242     174297.1250000000 200.3424643637 0 2242     31079.9780275000 24.4966062394 31873387 2242     37073.4531252500 50.4270131529 31873199 2242     8080.7593992500 25.0563205831 31873387 2242     8028.8221437500 16.9318719123 31873387 2242     7965.5018312500 45.0389605053 31873387 2242     6571.6787112500 11.9882207393 31873387 2242      
0.26  123569.8300780000 209.1440914228 0 2264     175034.4375000001 772.8848496933 0 2264     30977.5346680001 33.3284196611 32382867 2264     37054.3437500000 10.9344657280 32383409 2264     8170.6823732500 20.9461898061 32382867 2264     8140.6325682501 21.7424374136 32382867 2264     8047.1564939999 34.7420872025 32382867 2264     6659.3913575000 10.1410737769 32382867 2264      
0.28  115310.0253905000 286.4253583871 0 2291     175116.4648437500 60.8205827841 0 2291     30826.8984375000 78.8534359566 32898358 2291     36913.9404300000 87.5903996342 32899166 2291     8240.3237305001 13.0074187881 32898358 2291     8209.2055662500 9.4741515220 32898358 2291     8137.9200437500 19.6037225266 32898358 2291     6662.2015382501 101.0345395600 32898358 2291      
0.30  107746.2070310000 284.9009308545 0 2318     176927.2500000000 379.9098037486 0 2318     30819.9990235001 25.0028388475 33410759 2318     36866.6435545000 82.6861565891 33411388 2318     8357.7792967499 12.1556010111 33410759 2318     8311.0473630000 18.6281296666 33410759 2318     8316.5617677501 30.2577396895 33410759 2318     6924.3034670001 13.7973418256 33410759 2318      
 
