0.00  205166.2109375000 1133.4956150449 0 77612     189637.1875000000 734.7610944282 0 77612     242839.6718750001 1328.6274065061 999864959 77613     242711.6210937500 850.2328732178 999864955 77613     217869.1757812499 3121.1686846286 999864808 77612     218817.6054687500 714.0068894026 999864959 77613     218176.9101562501 609.0029556545 999864959 77613     223402.6015625001 2170.2990148556 999864959 77613     398859.2187500000 13689.8252633675 999864781 77613     393405.1093750000 3910.2782716558 999864964 77613      
0.02  183925.0000000000 258.5730565109 0 2136     167422.2656250000 316.1886291222 0 2136     197889.9140624999 310.9193717234 868727364 2136     200175.5546874999 545.5693662126 868737179 2136     169397.8320312499 364.2611263812 868727364 2136     169294.5195312500 428.2152285499 868727364 2136     169026.1562500000 198.4952618524 868727364 2136     174798.3750000000 489.7464222487 868727364 2136     331966.4843750000 2860.6724248558 868727364 2136     331468.5703125000 3785.8612490924 868737179 2136      
0.04  179207.8789062500 1468.6578184932 0 2134     168940.9492187500 126.6856033090 0 2134     169823.0898437501 409.5121131257 713124688 2134     171863.7773437499 690.3876791499 713134657 2134     141550.4414062500 431.9810699035 713124688 2134     141691.9843749999 111.6491938191 713124688 2134     141646.3320312500 194.2227026678 713124688 2134     146767.5546874999 3122.1092088307 713124688 2134     273463.5937500000 1999.1342792660 713124688 2134     278089.3046875000 7147.8833126882 713134657 2134      
0.06  174350.1132812501 270.3306988620 0 2144     166544.0273437500 297.0665726123 0 2144     127750.8730469999 308.0203571364 514875764 2144     128814.2324217500 456.6775988612 514890829 2144     98374.0546874999 73.5031395766 514875764 2144     98324.0683592500 80.2861963360 514875764 2144     98489.4394532499 114.8749842050 514875764 2144     99794.9921875000 93.3304323173 514875764 2144     195589.2578125001 699.6049085563 514875764 2144     198215.5507812501 1911.2736966786 514890829 2144      
0.08  170743.4804687500 39.6687278746 0 2157     168077.0351562500 366.5726470904 0 2157     62123.2441404999 108.1252295501 182948898 2157     63825.0703125001 35.2941255135 183430775 2157     36948.3974607500 39.8418001477 182948898 2157     36838.5644532500 62.4784301402 182948898 2157     36952.2890625000 61.0093867857 182948898 2157     35478.7832030000 103.6243521657 182948898 2157     75572.1171880000 224.0598282616 182948898 2157     75651.8007812500 558.2231709829 183430775 2157      
0.10  166236.4414062500 615.5821027745 0 2184     168560.3671875000 326.2478534262 0 2184     31011.5166012500 58.3921822098 28279944 2184     32531.7778320001 71.0065693785 28280494 2184     7853.9805907500 4.8604704722 28279944 2184     7786.2689209999 13.1365676369 28279944 2184     7723.4583737500 16.9884679668 28279944 2184     6013.3776857500 30.9618154706 28279944 2184     9026.1865232500 26.7512735660 28279944 2184     8996.3618165000 22.2257632482 28280494 2184      
0.12  164083.6445312500 2696.1144645193 0 2209     170179.4648437501 394.3449255518 0 2209     31026.7807614999 34.8406150677 28793548 2209     32531.3281250000 61.6328305441 28793938 2209     7973.7290040001 10.9196961677 28793548 2209     7901.8493650000 5.5402714407 28793548 2209     7840.1545407501 17.2893546866 28793548 2209     6128.7999267499 33.1394722728 28793548 2209     9119.8283692500 40.4270139923 28793548 2209     9098.1750490001 7.2977167419 28793938 2209      
0.14  158627.8007812501 301.6292389921 0 2213     170347.7656250000 397.0639203402 0 2213     30959.4790040000 35.6740203892 29307405 2213     32506.3149415000 124.1140236391 29308125 2213     8052.2515870000 27.1864037989 29307405 2213     7986.1508787499 29.2067225931 29307405 2213     7915.0848390000 9.8490327237 29307405 2213     6242.6513672500 40.2676982088 29307405 2213     10193.8588867499 21.2085984983 29306942 2213     10371.3530272499 75.1255528489 29307662 2213      
0.16  153052.8671875001 329.3930854904 0 2215     170872.1874999999 519.3037147417 0 2215     30884.0214842499 47.5688842860 29819512 2215     32429.8120117500 131.8891297569 29820358 2215     8141.6892090000 29.2236730583 29819512 2215     8071.6149905000 19.9075188351 29819512 2215     8004.3701172500 18.7866071155 29819512 2215     6371.8266599999 14.4495257368 29819512 2215     11402.1157227500 22.9381449668 29819512 2215     11507.8984372501 38.6799252509 29820358 2215      
0.18  148769.8671875000 653.1402546937 0 2228     170392.8125000000 527.6025897167 0 2228     30764.0566407500 20.3498828348 30328688 2228     32262.7558595000 32.9714324021 30328838 2228     8167.4859620000 26.4636135444 30328688 2228     8136.7147217501 8.8224730242 30328688 2228     8020.9094237501 18.9527448645 30328688 2228     6387.5637207501 50.0800127092 30328688 2228     12406.4050295001 17.5578436989 30328688 2228     12482.0939940000 39.4882140118 30328838 2228      
0.20  142462.8515625000 298.0083698915 0 2251     172446.3906250001 424.5661125806 0 2251     30660.4941405000 28.2373213468 30845312 2251     32148.7026367500 75.4587006009 30845288 2251     8204.5524902500 34.6756945563 30845312 2251     8096.8736572500 15.3747297233 30845312 2251     8056.7689210000 19.5770912144 30845312 2251     6481.1964112500 39.3102890657 30845312 2251     13300.0732422500 32.8831101516 30845312 2251     13328.7221680001 62.7630797112 30845288 2251      
0.22  136592.9609375000 870.0512078309 0 2229     174482.9492187501 800.7390476049 0 2229     30578.1171872500 47.6574980274 31358478 2229     32064.2646487500 50.3604678791 31357934 2229     8274.3884275000 17.1633721490 31358478 2229     8184.2675785001 39.8559489758 31358478 2229     8099.7464600001 60.3322073332 31358478 2229     6579.0257567500 18.4610488544 31358478 2229     14090.7424315000 64.5915938057 31358478 2229     14228.8918457500 17.5671117029 31357934 2229      
0.24  132018.6210937500 211.2343136954 0 2242     174927.9218750000 370.9322479707 0 2242     30396.4501955000 51.4098605368 31873387 2242     31916.9580077500 38.2919336667 31873199 2242     8282.9487302500 31.2817024622 31873387 2242     8200.2473144999 19.6190038630 31873387 2242     8139.9124755000 16.7658418221 31873387 2242     6684.3648680001 51.6972386989 31873387 2242     14847.1401367501 85.5346022823 31873387 2242     14178.8894045000 777.5506401012 31873199 2242      
0.26  129160.2617185001 529.8334965820 0 2264     178768.5664062499 870.4936191676 0 2264     30348.3774412500 77.2105976087 32382867 2264     31846.8115235000 132.6126858126 32383409 2264     8457.1821289999 62.7468191298 32382867 2264     8333.7878420001 30.8392252964 32382867 2264     8322.1918945000 97.0151750549 32382867 2264     6806.5075682501 37.0133973479 32382867 2264     15059.9726562499 19.6027815611 32382867 2264     14618.7785645000 1069.3476733198 32383409 2264      
0.28  122229.8632812500 552.6648739983 0 2291     179767.1054687500 726.5910244596 0 2291     30419.7148437500 20.6355022779 32898358 2291     31849.4672850000 35.4956474937 32899166 2291     8524.6406247500 48.8346939748 32898358 2291     8408.0334475000 35.2540058125 32898358 2291     8365.3627927499 56.6530196726 32898358 2291     6841.9750975000 6.9212989362 32898358 2291     14952.3098147500 579.0610270334 32898358 2291     15224.2514649999 79.6748460348 32899166 2291      
0.30  108832.4453122501 220.0094172283 0 2318     177037.5195312500 260.0920561362 0 2318     30320.5581055000 71.4483166289 33410759 2318     31812.0419922499 56.3827275446 33411388 2318     8603.7856445000 17.0144733931 33410759 2318     8525.7851562500 19.0494111733 33410759 2318     8468.2751462500 18.4009312096 33410759 2318     6932.5777587500 4.0372140816 33410759 2318     15411.3442382500 29.6246060734 33410759 2318     15475.7968750001 25.8941925949 33411388 2318      
