33554432  3700.5676269999 22.2689003431 7.0420446073 0 44     5008.8657224999 18.2484466577 5.7706655199 0 44     639.7656677999 .9496505849 .3003058829 7120 44     713.3706360001 8.5315282792 2.6979061284 7120 44     90.7909136002 2.9385827794 .9292614676 7120 44     90.9725241001 5.4301991773 1.7171797549 7120 44     91.6282571001 4.3275610465 1.3684949620 7120 44     45.8739554001 .9049156748 .2861594622 7120 44      
67108864  8048.4179197999 17.3570928712 5.4887947033 0 41     10507.5789062000 32.0986415112 10.1504816974 0 41     1225.3666872001 10.7568792321 3.4016238889 7461 40     1360.8584353001 9.3745087424 2.9644799571 9019 40     184.8028503002 3.8669720076 1.2228439192 7461 40     183.8329193001 7.4816605979 2.3659088170 7461 40     179.8897385001 9.3165547746 2.9461533034 7461 40     93.9828659002 8.6682351865 2.7411366483 7461 40      
100663296  13697.9310548999 21.6034046949 6.8315964051 0 38     16096.8122071001 34.4098341828 10.8813449928 0 38     1945.1441040000 11.8642020861 3.7517901213 8099 37     2166.4452637000 8.6433161587 2.7332565599 8099 37     281.1934479001 6.0953665503 1.9275241472 8099 37     268.3342589000 9.0823007354 2.8720756719 8099 37     268.4282868002 12.5518620857 3.9692473067 8099 37     142.3403671000 9.8204542649 3.1055003135 8099 37      
134217728  20761.1730468000 30.8995460159 9.7712944077 0 42     21924.5197265000 38.3788477723 12.1364572935 0 42     2452.3594482001 10.4829714293 3.3150066363 10212 41     2744.0389893001 10.4893169818 3.3170132762 10212 41     367.6918608999 3.3500679664 1.0593845090 10212 41     361.0286863998 6.6576528746 2.1053346954 10212 41     353.0277526000 3.0011193478 .9490372669 10212 41     180.8289459001 4.1363809527 1.3080385080 10212 41      
167772160  27333.7595703001 41.9504621148 13.2659009182 0 40     27844.3589844000 67.1639942416 21.2391198562 0 40     3261.7220703001 16.0529436821 5.0763865186 12730 40     3635.5019779001 14.6987983061 4.6481681515 12730 40     461.8090546000 3.3708314245 1.0659504910 12730 40     450.5725923002 5.6803038091 1.7962697838 12730 40     442.2126709001 7.7816987088 2.4607891985 12730 40     221.2241914000 3.7523077749 1.1865839050 12730 40      
201326592  32670.7607422002 44.1824343503 13.9717125120 0 44     33240.2019531000 73.2627949914 23.1677299927 0 44     3730.6639649999 14.1003217235 4.4589132388 15273 44     4132.2604001999 11.9537220564 3.7800988215 15273 44     555.1392029000 4.3342626278 1.3706141881 15273 44     539.1019838002 6.0223671076 1.9044396966 15273 44     526.3255983000 7.4844648859 2.3667956107 15273 44     267.7971284000 3.4527891762 1.0918678077 15273 44      
234881024  39358.6535156000 85.0808818633 26.9049372029 0 40     39555.1085937000 85.9664361473 27.1849740558 0 40     4586.1890136001 13.4347297646 4.2484345805 17871 40     5094.9519043001 15.5089398660 4.9043574072 17871 40     644.7053833001 4.6829653170 1.4808836605 17871 40     630.7205383000 8.4741664555 2.6797667271 17871 40     611.6798645000 7.2049208080 2.2783960114 17871 40     312.8364928998 4.1960366186 1.3269032860 17871 40      
268435456  45944.6468750000 38.7994747154 12.2694712121 0 35     45201.1792967999 136.2869668177 43.0977230549 0 35     4899.5904785000 39.4742553381 12.4828555810 20493 35     5416.0960449000 7.9219162848 2.5051298893 20493 35     704.9921020999 8.7764064702 2.7753434117 20493 35     694.5981749999 15.6571756385 4.9512336744 20493 35     671.6907654001 9.9548258414 3.1479923369 20493 35     342.2892607000 6.7791408525 2.1437525673 20493 35      
301989888  52598.0406250001 124.4464421961 39.3534204052 0 38     51115.2968750001 132.8647237921 42.0155147881 0 38     5816.9508300000 23.6341298084 7.4737680712 20757 38     6487.7191893999 23.4754626265 7.4235931027 20757 38     798.8841370000 10.5669804615 3.3415726249 20757 38     785.3296996998 9.7872759751 3.0950084170 20757 38     769.2340148999 17.3682413188 5.4923201520 20757 38     383.0202577000 5.3768768885 1.7003177666 20757 38      
335544320  59221.7468748000 113.3080244354 35.8311434397 0 39     57398.0972655000 136.8871653300 43.2875224896 0 39     6221.8611329002 7.9502024859 2.5140747715 23023 39     6897.7789552000 51.5967457419 16.3163236400 23023 39     924.0262083999 8.6812021266 2.7452371548 23023 39     897.0764342001 7.3066907287 2.3105784861 23023 39     879.8321289999 13.2956180366 4.2044435896 23023 39     442.4810789999 3.9608047869 1.2525164494 23023 39      
369098752  66601.9953123001 116.5452218015 36.8548351310 0 40     62478.4050781001 111.3392516775 35.2085628287 0 40     7165.2278809001 19.5130855646 6.1705794563 25316 40     7981.3379882000 17.4642903326 5.5226935170 25316 40     984.0463075001 11.8231877367 3.7388202452 25316 40     956.8468995000 7.3994056386 2.3398975149 25316 40     935.6501282000 12.5651225500 3.9734406338 25316 40     468.1854158001 9.0730269096 2.8691430306 25316 40      
402653184  73573.8273437000 169.8697604948 53.7175348762 0 40     69697.5562499000 176.9094283786 55.9436733246 0 40     7465.5817383002 10.3537480748 3.2741426236 27580 40     8286.4745116001 55.2012909679 17.4561809244 27580 40     1088.2712035999 15.5367449056 4.9131501327 27580 40     1066.2374877999 15.4487712569 4.8853304223 27580 40     1034.5351500000 13.6978468280 4.3316395017 27580 40     512.7872009001 16.8351341861 5.3237368743 27580 40      
436207616  79697.0656250998 220.0858951718 69.5972709634 0 39     76307.6484375001 132.3053754022 41.8386332963 0 39     8515.3314453002 20.0296596332 6.3339345200 29925 39     9478.4780272999 14.1575130495 4.4769987240 29925 39     1192.3446654000 10.8348994086 3.4262960350 29925 39     1168.1336913000 11.8628166314 3.7513520020 29925 39     1156.2146117999 37.7702675129 11.9440073177 29925 39     593.1276915001 23.5041482129 7.4326642816 29925 39      
