33554432  3424.3973876501 526.7993548955 117.7959168075 0 46     4705.3307617002 55.8884875989 12.4970457433 0 47     592.4152984000 52.1912237449 11.6703124125 7388 51     678.2472533998 77.1049258961 17.2411855707 5324 49     63.2422351498 2.2070792188 .4935179165 5903 47     60.0350538000 1.4800551932 .3309504022 7508 49     65.5382602995 4.0440156087 .9042693803 5280 45     29.0722840998 .1547599699 .0346053812 7055 52     81.2546805498 11.3048112353 2.5278326395 14420 50     90.1929454999 7.9902414684 1.7866723080 9624 45      
67108864  7557.8294679001 1065.5856687649 238.2721991260 0 38     9793.2170411002 98.8507673475 22.1037035421 0 42     1138.1632446998 113.5037445577 25.3802088537 10847 52     1233.8421294499 104.7482654766 23.4224242136 12746 46     126.1093471498 1.9394605606 .4336765653 8672 38     125.1365875001 2.4438024702 .5464508447 11189 45     124.1777847000 1.6914372680 .3782168711 10705 46     58.1879127998 .1785759639 .0399307994 12310 42     152.3999317500 17.8586900445 3.9933244929 6644 50     153.3676370000 22.2115270939 4.9666484467 6981 43      
100663296  12517.2289061999 2018.3215181175 451.3104115061 0 47     14998.1074706999 137.6527956550 30.7801008384 0 49     1955.0689697998 173.9214179137 38.8900113206 8073 43     2003.5768066500 246.8487285028 55.1970537103 11326 47     197.3969268499 3.7204796873 .8319245489 13075 43     192.0147735501 4.3476942657 .9721739923 9633 37     222.3594101005 143.0420046168 31.9851645968 15545 41     87.1182509000 .2500816534 .0559199576 11415 41     251.3024550999 25.3752615213 5.6740809709 14135 45     261.7961746999 33.8399804766 7.5668496704 16020 37      
134217728  18778.0039549999 1793.4430905280 401.0260664287 0 45     20304.5533202001 142.2980026596 31.8188007016 0 41     2283.5754151501 268.4236200466 60.0213461204 13417 54     2515.6106261499 326.1060581477 72.9195313908 5124 38     293.3418792502 11.9253343920 2.6665858355 22662 42     287.8662490501 6.2985848129 1.4084063804 16403 56     279.2130874998 6.7988056881 1.5202591684 14103 41     152.1941162501 .7745883988 .1732032314 8095 38     518.6277328503 944.0024561921 211.0853663019 14224 49     319.7402862499 32.6208991459 7.2942547979 16445 44      
167772160  24651.1631835999 1983.0934287280 443.4331712467 0 39     25762.7387694999 124.3567377154 27.8070118997 0 43     3082.3835755498 407.1179188976 91.0343341533 11968 43     3443.7588012999 332.3028192185 74.3051692903 19042 43     395.9521149003 10.2345394736 2.2885125981 20207 46     395.4848663500 11.4347218632 2.5568815390 19229 44     382.2647978998 13.5602423823 3.0321623758 14703 40     191.6656228000 .8470206102 .1893995662 17293 40     450.9337767999 40.4206328093 9.0383282657 5470 40     1434.3760315004 4344.2291222328 971.3991627363 8635 37      
201326592  29207.8818360497 2202.8015014756 492.5613898347 0 37     31278.7003905001 156.4822174473 34.9904875489 0 35     3613.3016112501 379.2550468964 84.8040065689 12609 38     3791.9686521999 424.2188279948 94.8582136752 24542 48     515.0317124001 23.3881096020 5.2297402936 11252 43     509.6374862500 22.8593616745 5.1115086627 20648 44     499.9317748500 19.6521233932 4.3943483810 7560 40     233.1502006502 2.0045085102 .4482217290 20836 45     492.5906753001 42.0099650308 9.3937137543 8515 39     482.8738952499 59.9547647056 13.4062929459 9234 41      
234881024  35327.8005859998 2598.1698839187 580.9684477664 0 43     36699.5267577501 186.4528783574 41.6921310616 0 47     4660.1273925499 377.2485056035 84.3553302958 12055 42     5021.2580566500 417.6654637807 93.3928368888 18688 40     592.8379883001 8.7793176092 1.9631150970 24917 48     601.7949310497 21.7469922236 4.8627752919 20274 36     576.6967376501 13.1242427351 2.9346698909 14342 41     262.9710777498 2.5175632390 .5629442540 18873 46     611.0675812001 53.6069970047 11.9868889374 29198 44     650.8187958002 56.1879017428 12.5639967812 21494 35      
268435456  41277.3171875999 2072.3709278936 463.3962269467 0 43     42325.1423828001 242.3720663860 54.1960416298 0 38     4759.0855102500 477.3449363528 106.7375726423 24449 39     5023.3979003000 597.4675318974 133.5978015701 14605 37     716.3436065999 23.3841874240 5.2288632679 22089 44     690.6995056001 25.9630752301 5.8055201120 17949 40     688.7688598499 30.8884865126 6.9068755565 24229 46     272.7610458998 2.8336980037 .6336341364 20062 40     648.1420868499 59.0800986122 13.2107116617 20904 39     689.8947631499 54.2359817800 12.1275342089 22204 46      
301989888  48222.3095702500 2533.1386350107 566.4270184441 0 43     47871.8593751501 284.9470715915 63.7161022082 0 41     5753.3075194499 791.3073114941 176.9416939632 34927 41     6355.9488770001 684.4976687126 153.0583317715 18531 38     819.0136077497 22.6709282290 5.0693736634 16683 32     826.9770110502 33.1422603004 7.4108346961 34225 47     832.5419096997 19.0228457591 4.2536376243 13306 37     277.8990630503 5.6895623405 1.2722248155 41454 46     790.0471313001 80.1256607187 17.9166424113 17099 30     874.9770477498 96.2596130742 21.5243038326 9209 40      
335544320  54171.1519532001 2527.2413177575 565.1083382177 0 41     53408.2220703501 303.6607929645 67.9006175185 0 40     6182.1628174001 1103.1888572533 246.6805276893 18263 36     7414.7080566000 3965.6329775467 886.7424911806 17159 36     889.2049591000 19.5270274756 4.3663760834 15335 38     908.8081206497 30.9212138038 6.9141936013 36810 45     877.1687836502 29.6899257648 6.6388692258 27591 39     301.6135681999 4.6136589860 1.0316455117 26949 47     1131.7555358003 1308.7822354279 292.6526046226 13598 43     852.8376282501 70.8380337089 15.8398658769 33031 45      
369098752  60343.9201173498 1951.7219016767 436.4182845421 0 42     59243.5042970002 290.2562445332 64.9032693684 0 44     7080.9958984997 792.5767847430 177.2255568113 36318 49     7982.4258544998 756.8466237993 169.2360499394 38448 38     1026.8113708001 13.9948891849 3.1293523555 19270 45     1027.1501373001 40.7378046853 9.1092500532 28628 40     999.2764952505 16.7447517462 3.7442403171 20263 46     344.2128556503 5.2680942878 1.1779816939 47048 41     992.8303404999 82.0602179229 18.3492225528 22284 37     1055.5637418998 113.6048385420 25.4028141558 26836 36      
402653184  67024.0613281500 2669.7957644389 596.9844815459 0 48     64708.2826169500 275.3665778481 61.5738386813 0 40     7162.0825195498 720.5484717315 161.1195363911 24017 44     7799.4801026001 780.6078201608 174.5492149686 30128 42     1171.7844421001 34.5527903911 7.7262388128 30695 41     1159.2453186499 32.9504697437 7.3679490239 38421 48     1171.3796508499 14.9291188722 3.3382524643 23683 39     393.7198868499 4.9435621599 1.1054141040 32960 45     989.3437346498 88.4018304251 19.7672502170 24300 44     1024.1178070497 53.8267525726 12.0360277763 18463 32      
436207616  71724.4765626001 2301.1690469067 514.5570416716 0 46     70528.0738280499 368.6531836104 82.4333578692 0 36     8832.3739746499 678.1263815450 151.6336686504 23779 40     9242.8045409497 1058.7471342002 236.7430563107 26419 41     1286.6386535499 23.7289499848 5.3059545201 17670 37     1278.3832091998 20.3745069671 4.5558782587 28274 46     1266.9333069002 25.5832871873 5.7205969239 22700 43     429.3161026002 8.5595266732 1.9139683496 25289 38     1119.5930236501 104.1348880418 23.2852688495 19264 40     1236.7726745500 135.7542872736 30.3555814587 28401 40      
469762048  77660.3218750000 3774.9280128497 844.0995647088 0 43     76118.9468749999 329.1005065043 73.5891103989 0 44     7870.1260254002 1223.1817866173 273.5117623776 24974 36     8877.1057128498 1153.3795436397 257.9035063493 23638 42     2512.9876281003 5110.5711290022 1142.7584448551 40970 41     1373.3014160499 16.4226546813 3.6722172239 22658 41     1358.0478455000 24.8887184791 5.5652866393 27705 40     477.2656021502 4.0031297353 .8951270211 21251 39     1162.8472167499 116.7635471310 26.1091228684 10491 31     1144.1299316000 139.5846640107 31.2120797351 38547 46      
503316480  84861.2308594500 2114.7952102081 472.8825848621 0 44     82312.4003904996 467.3852316356 104.5105149639 0 43     9874.2106933498 1111.2265786074 248.4778168225 34303 38     11047.6873535999 1007.9433004547 225.3829737332 42947 44     1473.5082153498 21.6123935823 4.8326781207 35577 42     1470.6783875000 17.0770775714 3.8185506307 28406 41     2653.7752502502 5478.8071765554 1225.0985282664 23618 38     513.6429856498 7.0858679519 1.5844482420 17697 36     2148.7941223503 3530.8372933924 789.5192205692 22582 39     1453.2221739500 127.0302951113 28.4048375077 25430 39      
536870912  89620.3066406998 2356.6201601840 526.9562875435 0 43     88594.9152344498 481.3080871464 107.6237601003 0 31     9471.9741944001 931.2292773799 208.2291966905 33899 49     9905.2306885497 1480.1972534143 330.9821678816 42960 42     1520.9857786999 30.8405912224 6.8961658441 24550 37     1517.2939575000 23.7678994647 5.3146638886 40276 56     1527.7598266999 57.1316583088 12.7750271648 47718 39     615.6621612498 1.9827149213 .4433485344 18604 38     1369.1246522498 122.0895595890 27.3000554590 41761 40     1363.6650390000 139.7023661590 31.2383987356 39509 48      
570425344  98109.3308593998 3160.7723747350 706.7701891468 0 42     95866.5144531502 733.2060171293 163.9498495849 0 39     10772.2797851999 1413.9097551152 316.1598326558 27539 40     12088.2097168000 1190.6874881641 266.2458163552 23937 32     1665.8643492501 78.9904823565 17.6628088128 42810 45     1707.2911559996 99.8450531991 22.3260326175 40986 41     1663.4333007000 141.8214936366 31.7122500449 13839 31     617.3037598497 49.3576615318 11.0367086397 27309 34     1527.4674744000 133.3689900285 29.8222127800 33199 38     1626.5893311000 186.5470060003 41.7131786425 23482 33      
603979776  108075.3261718500 3098.7805344672 692.9083922576 0 39     102276.5152344002 1169.6130033251 261.5334182860 0 44     10520.2432617499 1436.5332240175 321.2185940911 28447 40     11459.0644043999 1281.7975651719 286.6186489181 16861 37     1617.3425781501 56.8441919806 12.7107477397 35636 38     1569.1098266499 42.4887507741 9.5007735012 35837 40     1525.7646667499 52.7900256625 11.8042085917 32899 43     606.4342650496 8.0720386794 1.8049627204 31327 37     1512.7417601998 121.3288842579 27.1299632840 37905 40     1488.0251220499 131.8594720995 29.4846743098 30895 39      
637534208  114424.1089844500 2327.4738776827 520.4389806469 0 33     106401.9578125999 571.6324549545 127.8209027451 0 41     12407.6175292999 1463.3814473690 327.2220393401 28201 38     14083.9452148500 917.7076438385 205.2056675139 41955 39     1697.9874206000 48.0637805447 10.7473880555 33039 43     2619.0072265503 3157.2729810740 705.9877009362 38535 39     1664.9710204998 49.0617134738 10.9705326422 27590 35     664.9288666002 11.4930457115 2.5699231479 16395 33     1722.1925720499 195.6868490855 43.7569096867 21941 41     1806.5264771000 182.6318492089 40.8377229696 20565 40      
