0.00  1805.3891602500 1.7719586232 0 59110     1688.6708985000 15.2976712062 0 59110     2197.6029055001 7.3832018196 9998640 59111     2254.6322632500 11.5475136650 9998640 59111     1932.0494080001 11.1529924930 9998643 59111     1929.5790100000 12.6564733039 9998640 59111     1922.3677065000 5.8602703695 9998640 59111     1977.0035402500 9.5725389686 9998640 59111      
0.02  1545.4264220000 11.5878338487 0 463     1403.3222352500 11.7192720726 0 463     1768.0979612500 13.9739051883 8691599 463     1832.5762330001 14.7762292976 8691626 463     1489.3442690001 15.1428516618 8691599 463     1490.4248045001 13.7495827290 8691599 463     1495.4192810000 18.3740361360 8691599 463     1539.0483705000 8.1079962620 8691599 463      
0.04  1511.7007140000 18.8635650197 0 469     1389.5535887499 16.5799018507 0 469     1432.2632750000 4.7183810946 7141680 469     1484.8269350000 8.7118726471 7141497 469     1143.5267335000 8.2976732731 7141680 469     1141.9473875001 6.5371524984 7141680 469     1146.4955445001 13.6049698286 7141680 469     1184.7097167501 6.7963485085 7141680 469      
0.06  1475.9636230000 12.6619834509 0 461     1413.2086487501 7.8840725865 0 461     1133.6802370001 15.4585222066 5151988 461     1192.1334227500 11.5428225072 5154899 461     850.9069060000 8.8994494120 5151988 461     841.7511445000 6.2428144633 5151988 461     870.8887330000 50.0460070111 5151988 461     871.0602417500 7.8637905438 5151988 461      
0.08  1445.8102722500 9.7383671289 0 491     1400.9767152501 3.1916648560 0 491     536.9514467500 1.1805595347 1811338 491     595.3963015001 2.7631612467 1811338 491     286.9369737500 2.5128228730 1811338 491     291.5898590000 5.8062693099 1811338 491     290.0673065000 8.5825731339 1811338 491     275.5992965000 5.6909225654 1811338 491      
0.10  1416.6371457500 13.2126096516 0 467     1417.5523072500 6.3724912618 0 467     304.4469832501 9.7680850583 283606 467     359.1958925001 .2696187391 283549 467     67.3904417501 2.4618604243 283606 467     68.3956832500 2.7589806777 283606 467     69.2786600001 2.3064064628 283606 467     57.8471527500 8.7468765163 283606 467      
0.12  1341.7274169999 7.3428273283 0 504     1388.6329650000 5.6098681804 0 504     296.8336409999 .4731918559 288106 504     357.6031265000 .8860803219 288192 504     67.5757845001 2.0076989023 288106 504     67.8666457500 1.4102855227 288106 504     69.6258162500 2.8964507516 288106 504     54.1634275000 1.7279418207 288106 504      
0.14  1290.0362547500 9.6173379662 0 486     1393.5594177500 13.0821425706 0 486     296.4891510001 .5825019036 293425 486     356.6181260001 .6181194869 293490 486     71.1101225000 5.0382041314 293425 486     67.8353135000 2.5073370755 293425 486     68.8208675000 2.7861699974 293425 486     53.2622967500 2.2675956010 293425 486      
0.16  1233.4443055001 11.8111257783 0 479     1396.3594362500 14.6887128083 0 479     297.4581147500 .6285380222 298883 479     361.0732575000 10.3658489621 298854 479     70.1342410000 2.5468121387 298883 479     69.1027087500 2.0848629911 298883 479     73.3754845000 4.1484396071 298883 479     54.2526142501 1.4546713992 298883 479      
0.18  1199.9103697500 9.1408574109 0 488     1399.5392457499 14.3917470164 0 488     296.7580185000 .4951971206 303782 488     354.9212190000 1.0249034030 303782 488     70.2586610000 1.2440806354 303782 488     69.8326912501 3.7855916600 303782 488     72.8404235000 1.6189880546 303782 488     55.1027385001 2.4016803890 303782 488      
0.20  1134.5407102501 11.9840787303 0 484     1413.8040162500 13.0745564771 0 484     295.1443940000 1.1260976767 308844 484     354.6654892501 .7279308065 308859 484     71.6314410001 1.7776720621 308844 484     70.9501250000 3.1839973976 308844 484     73.5269757499 2.3301638181 308844 484     61.1493377501 11.8858951217 308844 484      
