33554432  637.2038575002 3.6276076682 1.1471502689 7120 0     711.2938536001 8.2045798325 2.5945159515 7120 0     87.6398622001 1.2408219299 .3923823469 7120 0     86.6611671001 3.8501569558 1.2175265329 7120 0     86.0622342999 1.5354027613 .4855369851 7120 0     50.1717532003 9.1227243315 2.8848587354 7120 0      
67108864  1226.0748779002 7.8100176693 2.4697444401 7461 0     1358.1107787001 10.2380926885 3.2375691792 9019 0     174.8244003999 3.0028642276 .9495890463 7461 0     170.4979796000 1.7725009847 .5605140266 7461 0     171.9074509002 7.3797014724 2.3336665105 7461 0     90.5423211001 1.3714032189 .4336757762 7461 0      
100663296  1936.1222290000 9.6316805486 3.0458048229 8099 0     2166.9777588999 14.9749164000 4.7354843595 8099 0     270.5804840000 5.5380524616 1.7512859580 8099 0     268.5027862001 6.7026731941 2.1195713705 8099 0     260.5363540998 6.2145386623 1.9652096780 8099 0     138.2876922999 6.9102962343 2.1852275407 8099 0      
134217728  2470.4746336999 15.1881458150 4.8029134211 10212 0     2754.9814453001 11.0977112983 3.5094044518 10212 0     355.6225006001 3.7426237587 1.1835215502 10212 0     349.7683260001 8.7332991544 2.7617116816 10212 0     339.3306183000 4.5116722035 1.4267160219 10212 0     182.1159090002 7.4061193069 2.3420205633 10212 0      
167772160  3264.4061767999 12.7178625401 4.0217412596 12730 0     3622.7906495000 8.3767976178 2.6489759971 12730 0     450.7342895001 8.4820537513 2.6822609090 12730 0     430.7472962001 5.4788496590 1.7325643880 12730 0     420.3388580999 9.0297497494 2.8554575910 12730 0     221.1353760000 3.0152543976 .9535071621 12730 0      
201326592  3737.7391114000 9.8431468058 3.1126763250 15273 0     4131.2672850999 12.7614345917 4.0355199521 15273 0     538.5705384000 3.2720989849 1.0347285522 15273 0     522.9456359000 6.7252184217 2.1267007975 15273 0     503.8091188000 12.9249269414 4.0872207726 15273 0     268.0677796001 5.3189980203 1.6820148614 15273 0      
234881024  4576.2670408999 6.8869713265 2.1778515572 17871 0     5094.4754883000 12.8340394257 4.0584796166 17871 0     636.7483826000 12.1014365579 3.8268102483 17871 0     611.0254576000 3.4095926110 1.0782078544 17871 0     595.4575136001 5.7892654602 1.8307264833 17871 0     313.3302091999 4.3169975651 1.3651544959 17871 0      
268435456  4898.1318848000 11.8175993939 3.7370530560 20493 0     5441.7257812999 5.2433751279 1.6581008031 20493 0     691.5470154999 3.4267298878 1.0836271371 20493 0     677.2695923001 17.1905852554 5.4361403719 20493 0     657.5788269000 14.6522707067 4.6334548327 20493 0     341.2158385000 4.4284221933 1.4003900571 20493 0      
301989888  5877.7742185998 22.5138415013 7.1195018025 20757 0     6561.7259277001 3.9246839407 1.2410940349 20757 0     803.8767821001 18.7546627827 5.9307451143 20757 0     782.8311584001 3.4388089907 1.0874468849 20757 0     773.3043701001 23.4009602761 7.4000333909 20757 0     402.0770326000 9.9212629180 3.1373788086 20757 0      
335544320  6191.6162598000 9.5111685336 3.0076955776 23023 0     6871.0888673000 21.5630939893 6.8188490407 23023 0     878.0783632001 9.2651177031 2.9298874731 23023 0     869.6005431001 45.8275641564 14.4919482354 23023 0     827.2319823000 5.1310421394 1.6225779931 23023 0     420.9504301999 3.2051368578 1.0135532683 23023 0      
369098752  7169.2043457000 16.8893515518 5.3408819108 25316 0     7989.0100587000 15.5987964069 4.9327725404 25316 0     968.9930724000 13.8485098339 4.3792833275 25316 0     980.1423461002 82.2659487328 26.0147771875 25316 0     923.5675782001 13.1952574453 4.1727067840 25316 0     478.6364349002 31.2835330048 9.8927217554 25316 0      
402653184  7478.3804198001 16.8215365865 5.3194369358 27580 0     8286.5964845998 40.4290103917 12.7847756387 27580 0     1076.7431760999 15.5677478274 4.9229541174 27580 0     1042.8011292002 15.6120557117 4.9369655007 27580 0     1024.1076841998 10.8420193758 3.4285475663 27580 0     522.9898223000 22.1403153889 7.0013824744 27580 0      
436207616  8474.7707030999 8.1645732700 2.5818647657 29925 0     9455.7362304000 9.7013161784 3.0678255425 29925 0     1147.7485108000 5.4381526826 1.7196948741 29925 0     1131.8344483001 16.0211575948 5.0663348753 29925 0     1092.9079467001 10.3825741123 3.2832582171 29925 0     544.1659971000 2.9952943153 .9471952299 29925 0      
469762048  8760.2758788001 28.5299031490 9.0219475376 32119 0     9694.8638669999 15.3829215876 4.8645069285 32119 0     1255.0725951000 3.7781123062 1.1947440143 32119 0     1223.2895263000 4.5571395174 1.4410940490 32119 0     1192.7264040000 7.1588606336 2.2638305054 32119 0     621.6792909002 5.0455021013 1.5955278579 32119 0      
503316480  9797.0939452000 18.6016297198 5.8823518106 34457 0     10906.2888673999 11.5085753233 3.6393310646 34457 0     1326.6209596000 10.4742117763 3.3122365908 34457 0     1296.7412598000 13.4960904235 4.2678385246 34457 0     1260.2826293001 17.0962724951 5.4063160584 34457 0     627.2791504002 7.2993420959 2.3082546444 34457 0      
536870912  10010.8618165000 33.7275824253 10.6655980437 36728 0     11048.9447266000 31.7631598587 10.0443930839 36728 0     1431.1712891000 25.5738100856 8.0871488320 36728 0     1386.7371459000 21.7827091458 6.8882974511 36728 0     1368.2306152999 33.4925179729 10.5912641370 36728 0     698.2377074000 19.1027833164 6.0408304929 36728 0      
570425344  11097.2676758999 7.1605522920 2.2643654547 38995 0     12389.9577150000 9.8285533237 3.1080614607 38995 0     1503.8405761001 10.0830325408 3.1885348551 38995 0     1466.3736937998 6.4715512735 2.0464842019 38995 0     1437.3415405001 18.9999995909 6.0083274250 38995 0     716.1526368000 19.2757457901 6.0955260296 38995 0      
603979776  11117.0741210001 21.5598346438 6.8178183452 41300 0     12278.5016602001 38.6553267983 12.2238876383 41300 0     1614.3042480002 97.8082123795 30.9296724995 41300 0     1561.7689330001 46.3740155304 14.6647513327 41300 0     1504.6843994000 15.2559332181 4.8243496801 41300 0     757.8666319000 8.0361970874 2.5412686522 41300 0      
637534208  12450.0945312998 12.4858281371 3.9483655387 43613 0     13831.4117188001 11.9082139692 3.7657079008 43613 0     1708.2305907001 9.2864417773 2.9366307375 43613 0     1669.2323608001 9.4087661308 2.9753130945 43613 0     1624.3705812001 11.1121488223 3.5139699977 43613 0     851.2033508003 8.8247788915 2.7906401145 43613 0      
671088640  12460.6177733999 15.4034907540 4.8710114701 28960 0     13773.7959962001 17.5908889000 5.5627274992 28960 0     1776.0822997001 9.3125439995 2.9448849849 28960 0     1734.0213134001 12.7783685113 4.0408749277 28960 0     1688.6555299001 11.0527727514 3.4951936355 28960 0     833.0040832000 2.4679934951 .7804480695 28960 0      
704643072  13707.9201171999 25.7975179048 8.1578914559 30495 0     15271.3109375000 15.8531442586 5.0132043933 30495 0     1871.1723145000 9.3624864107 2.9606781620 30495 0     1829.4100464000 12.4244395958 3.9289527774 30495 0     1787.6666993001 16.5900864092 5.2462459633 30495 0     875.6922730000 2.6596513879 .8410556167 30495 0      
738197504  13656.9267579001 18.5406027247 5.8630533803 31876 0     15198.6026365999 13.6037069529 4.3018698593 31876 0     1961.6814819001 9.4142306152 2.9770411162 31876 0     1915.9111451000 11.2233719521 3.5491418396 31876 0     1862.6505371003 17.5184594392 5.5398232926 31876 0     917.0383788000 4.5198818002 1.4293121243 31876 0      
771751936  15093.1243164001 7.0009510322 2.2138951049 33342 0     16770.1816406000 22.8419458051 7.2232574935 37453 0     2066.8675293000 13.8695867075 4.3859484201 33342 0     2016.3420532000 17.5551248423 5.5514179111 33342 0     1962.7515014999 16.2553448294 5.1403913813 33342 0     1027.5486510999 2.6879045650 .8499900558 33342 0      
805306368  15015.7636717999 29.1855081072 9.2292680290 34808 0     16517.5663085999 54.3774482615 17.1956589858 39106 0     2148.2963377999 13.8446347451 4.3780579168 34808 0     2083.5849364999 11.6934811506 3.6978034212 34808 0     2034.1635621002 12.8892719584 4.0759456770 34808 0     1017.4840392000 29.0296016440 9.1799660764 34808 0      
838860800  16332.1062500000 12.0065165692 3.7967939124 36173 0     18258.3261717998 130.6441667467 41.3133129943 40671 0     2229.7998535000 16.3721161112 5.1773177029 36173 0     2170.5751221001 10.8127855676 3.4193030245 36173 0     2117.1338867001 10.9678570775 3.4683409416 36173 0     1042.1709229001 9.6314734058 3.0457393186 36173 0      
872415232  16228.7947267000 66.4775031773 21.0220323205 37578 0     17958.6773438000 32.6637470847 10.3291837705 42245 0     2318.6388672999 11.5926130257 3.6659061194 37578 0     2340.8669433002 238.2248206333 75.3333028402 37578 0     2209.8189453998 13.9056840142 4.3973633908 37578 0     1082.2234131000 3.6905756647 1.1670624977 37578 0      
