33554432  541.5988343001 6.8977814199 2.1812700089 143 0     732.8507569001 4.2675766385 1.3495262267 135 0     97.9580954000 2.1562368398 .6818619588 143 0     94.4056429002 4.1498087581 1.3122847529 143 0     101.0809189002 5.4535083966 1.7245507772 143 0     57.2864250001 5.9712726213 1.8882822013 143 0      
67108864  1096.4700681001 5.9477297863 1.8808373032 125 0     1527.1972899999 14.6577593744 4.6351905018 151 0     230.1089524000 27.6343205063 8.7387394392 125 0     262.7922547001 19.2468226032 6.0863797148 125 0     204.6668930001 12.6047267723 3.9859645885 125 0     122.5230353999 11.9164419833 3.7683098273 125 0      
100663296  1879.8084838001 78.8793569840 24.9438428444 219 0     2316.4005371001 8.2453775151 2.6074173116 150 0     284.2980529998 4.9050772835 1.5511216315 219 0     281.1907316999 11.8640695110 3.7517481974 219 0     275.8317230001 9.4444936447 2.9866111264 219 0     142.3470796002 3.6529813510 1.1551741319 219 0      
134217728  2192.0191895000 16.4341718822 5.1969414607 257 0     3024.4744141000 5.2510288855 1.6605211337 145 0     386.7064361000 30.0413433504 9.4999068960 257 0     383.5449402001 30.0521512481 9.5033246533 257 0     372.9885011000 3.7141915891 1.1745305088 257 0     193.7801604999 25.8192811283 8.1647735915 257 0      
167772160  2899.8699952001 12.9512815109 4.0955548193 155 0     3838.7122313002 12.8874265578 4.0753621101 135 0     494.5212954000 11.8203538890 3.7379241039 155 0     476.2492891000 8.1636179219 2.5815626581 155 0     475.4318968001 14.6134057918 4.6211646675 155 0     233.7107484000 18.1982842639 5.7548027782 155 0      
201326592  3715.7152831999 40.9289008578 12.9428548840 191 0     4890.8300780999 20.3708152266 6.4418173911 144 0     579.3161866001 5.5538359039 1.7562771207 191 0     562.0154601002 4.6224849650 1.4617580939 191 0     568.1114439998 12.3143791367 3.8941486043 191 0     285.0837952001 13.0663353406 4.1319380348 191 0      
234881024  4674.7285156001 44.3797945723 14.0341232941 191 0     5918.3458983999 46.3299588076 14.6508193736 122 0     658.5549133001 31.3261441706 9.9061965892 191 0     637.0363282000 10.1630478687 3.2138379235 191 0     634.2403809001 30.0451958722 9.5011251704 191 0     328.1685087003 31.3770081149 9.9222811806 191 0      
268435456  4958.7209960001 30.3305852902 9.5913732285 255 0     6519.8324220000 18.9862023150 6.0039643433 139 0     775.2532775999 29.9514952139 9.4714944205 255 0     742.5751831999 16.3686585391 5.1762243226 255 0     718.8024413000 10.1513544061 3.2101401259 255 0     357.1345244002 36.2336225870 11.4580775256 255 0      
301989888  5973.9458982998 28.2985110556 8.9487749329 289 0     7583.8692872001 24.4380625321 7.7279939204 152 0     823.4986693999 23.6696967851 7.4850153368 289 0     817.5996399001 20.6452768026 6.5286097622 289 0     823.7597351998 24.2729482893 7.6757802123 289 0     383.1090758998 7.2213908289 2.2836042894 289 0      
335544320  6236.6685058000 49.5487410192 15.6686876817 322 0     8191.8653321000 16.1499972104 5.1070775391 172 0     995.6553222000 36.3137931069 11.4834296700 322 0     922.9724915000 17.5902655992 5.5625303941 322 0     930.2419189001 42.3601353012 13.3954509547 322 0     442.1357178001 40.4879004521 12.8033983109 322 0      
369098752  7326.3970215001 45.5022424792 14.3890724882 352 0     9305.3290041002 33.8336079526 10.6991262593 188 0     1084.6499511000 38.5629363774 12.1946712219 352 0     1084.1146729000 36.6222988057 11.5809877379 352 0     1051.4983215001 49.3622002597 15.6096983141 352 0     505.9603179998 48.2930617020 15.2716070164 352 0      
402653184  8010.9846192001 28.0086031361 8.8570979991 285 0     10332.2208006001 42.0616000799 13.3010458286 186 0     1234.1415283000 51.7062852885 16.3509630861 285 0     1185.6154053000 41.9360035135 13.2613287070 285 0     1181.3552001002 44.4426894785 14.0540124098 285 0     483.5579011000 7.7630698332 2.4548982308 285 0      
436207616  9759.3512694002 45.4436748231 14.3705517692 145 0     12466.7060546001 28.4745803473 9.0044529316 164 0     1550.9524900998 129.8099939442 41.0495243925 145 0     1528.7132323001 106.4808522075 33.6722020178 145 0     1458.5109498000 182.5149175396 57.7162846395 145 0     515.5324555002 12.9070274647 4.0815604611 145 0      
469762048  9870.0746094002 68.9996743422 21.8196128735 155 0     13025.8188475000 88.7051176960 28.0510212038 175 0     1621.8709106999 111.0758807592 35.1252776315 155 0     1670.1883179001 42.8488091573 13.5499831965 155 0     1573.2735841001 39.3025078056 12.4285442424 155 0     719.4776611000 19.9398893143 6.3055466526 155 0      
503316480  11731.0846680000 244.6350430714 77.3603931615 156 0     14377.4241214001 69.3330882639 21.9250476132 186 0     1398.1609741001 16.3861264511 5.1817481614 156 0     1353.9120850001 5.9961652789 1.8961539508 156 0     1321.4252685001 8.5788847430 2.7128815572 156 0     648.7862731000 11.5520580610 3.6530815136 156 0      
536870912  11416.5990237001 105.7094905800 33.4282760536 163 0     14858.4705078999 31.7121149080 10.0282512532 211 0     1496.4564330000 29.0634017893 9.1906546208 163 0     1475.8989380000 65.1611035658 20.6057502122 163 0     1433.3092040002 34.2220796061 10.8219717825 163 0     713.2946411001 26.6139741620 8.4160775942 163 0      
570425344  12714.3904296000 47.2652838820 14.9465951324 202 0     16185.5923829001 36.4865954491 11.5380745686 252 0     1633.6113524001 23.5727089977 7.4543451054 202 0     1583.8935913001 30.9869008238 9.7989184235 202 0     1631.6058349999 50.3501389374 15.9221119551 202 0     768.2565491001 46.7702869191 14.7900633487 202 0      
603979776  12745.4679688001 66.5741480608 21.0525941161 206 0     16724.6751952999 39.1768598436 12.3888108681 258 0     1702.8774292000 46.0897231677 14.5748501939 206 0     1650.2863037000 22.0357769862 6.9683245289 206 0     1627.3641967998 51.6057290612 16.3191644150 206 0     844.5486329002 59.9050300272 18.9436338190 206 0      
637534208  10753.6874998999 18.2887271325 5.7834033245 776 0     14399.8377930002 21.5815587907 6.8246881236 311 0     1801.3051026001 5.1195940946 1.6189578034 776 0     1782.9932494998 51.8655347607 16.4013221909 776 0     1828.2105712001 21.6104995413 6.8338399926 776 0     836.8217163001 29.1737509405 9.2255500864 776 0      
671088640  10721.4251953000 60.7736598826 19.2183186977 781 0     14820.7799803998 22.2162166577 7.0253845631 325 0     1873.5381348001 52.2760471941 16.5311376207 781 0     1836.8351929000 36.8969125690 11.6678282348 781 0     1783.2291015999 26.1494161234 8.2691714435 781 0     873.4563048001 17.1672309448 5.4287550904 781 0      
704643072  11948.7087890001 49.2915492102 15.5873564905 815 0     
